Id,Name,2021-10-08 14:55:38,2021-10-09 10:04:56,2021-10-10 13:08:48,2021-10-11 10:08:12,2021-10-12 10:10:42,2021-10-13 10:09:34,2021-10-14 10:06:58,2021-10-15 10:10:45,2021-10-16 10:12:40,2021-10-17 10:07:19,2021-10-18 10:11:48,2021-10-19 10:12:20,2021-10-20 10:11:29,2021-10-21 10:17:26,2021-10-21 21:56:02,2021-10-22 10:19:07,2021-10-23 10:09:28,2021-10-24 10:08:47,2021-10-25 10:10:04,2021-10-26 10:04:53,2021-10-27 10:05:39,2021-10-28 10:05:19,2021-10-29 10:05:09,2021-10-30 10:04:50,2021-10-31 10:08:25
13913753,1more S100BT,0,0,0,0,0,0,0,0,0,해외구매_일시품절,해외구매_일시품절,해외구매_일시품절,해외구매_일시품절,해외구매_일시품절,해외구매_일시품절,0,0,0,0,0,0,0,0,0,0
15298781,7NC NCS-801,"6,450","6,450","6,460","6,880","6,810","6,790","6,870","5,220","5,220","5,220","5,220",0,0,0,"옥션_5,220|G마켓_6,890|슈퍼컴_6,900|쿠팡_6,900|11번가_6,900","옥션_5,220|G마켓_6,890|쿠팡_6,900|슈퍼컴_6,900|11번가_6,900","옥션_5,220|G마켓_6,890|11번가_6,900|슈퍼컴_6,900|인터파크_6,900","옥션_5,220|G마켓_6,890|11번가_6,900|인터파크_6,900|슈퍼컴_6,900","옥션_5,220|G마켓_6,890|슈퍼컴_6,900|인터파크_6,900|11번가_6,900","옥션_5,220|G마켓_6,770|11번가_6,780|인터파크_6,900|슈퍼컴_6,900","옥션_5,220|G마켓_6,890|11번가_6,900|인터파크_6,900|슈퍼컴_6,900","옥션_5,220|G마켓_6,890|11번가_6,900|슈퍼컴_6,900|인터파크_6,900","옥션_5,220|G마켓_6,890|슈퍼컴_6,900|11번가_6,900|인터파크_6,900","옥션_5,220|G마켓_6,890|11번가_6,900|슈퍼컴_6,900|인터파크_6,900","옥션_5,220|11번가_6,900|슈퍼컴_6,900|인터파크_6,900|쿠팡_6,900"
5888672,ADATA XPG EMIX H30 + SOLOX F30,"119,000","119,000","119,000","119,000","119,000","119,000","119,000","119,000","119,000","119,000","119,000",0,0,0,"피씨포올스토어_119,000|초이스컴_119,000|샵다나와_119,000|옥션_119,500|G마켓_120,700","초이스컴_119,000|피씨포올스토어_119,000|샵다나와_119,000|옥션_119,500|G마켓_120,700","아이스타피씨_119,000|피씨포올스토어_119,000|샵다나와_119,000|옥션_120,200|G마켓_120,700","아이스타피씨_119,000|피씨포올스토어_119,000|샵다나와_119,000|옥션_120,200|G마켓_121,410","아이스타피씨_119,000|피씨포올스토어_119,000|샵다나와_119,000|옥션_120,200|G마켓_121,410","피씨포올스토어_119,000|초이스컴_119,000|샵다나와_119,000|G마켓_121,410|11번가_121,500","초이스컴_119,000|피씨포올스토어_119,000|샵다나와_119,000|11번가_121,500|인터파크_121,500","피씨포올스토어_119,000|플레이몰_119,000|샵다나와_119,000|11번가_121,500|인터파크_121,500","피씨포올스토어_119,000|아이티엔조이_119,000|샵다나와_119,000|11번가_121,500|인터파크_121,500","초이스컴_119,000|피씨포올스토어_119,000|샵다나와_119,000|11번가_121,500|인터파크_121,500","피씨포올스토어_119,000|초이스컴_119,000|샵다나와_119,000|인터파크_121,500|11번가_121,500"
13190567,ADATA XPG PRECOG 가상 7.1채널 게이밍 헤드셋,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11번가_196,960|옥션_197,010|G마켓_197,010|쿠팡_199,000|근호컴_199,000","옥션_196,950|11번가_196,960|G마켓_197,010|쿠팡_199,000|근호컴_199,000","11번가_196,720|옥션_196,770|G마켓_196,770|쿠팡_199,000|근호컴_199,000","11번가_196,660|옥션_196,710|G마켓_196,710|쿠팡_199,000|근호컴_199,000","G마켓_196,470|11번가_196,480|옥션_196,530|쿠팡_199,000|근호컴_199,000","11번가_196,240|옥션_196,290|G마켓_196,290|쿠팡_199,000|아이티엔조이_199,000","11번가_196,000|옥션_196,050|G마켓_196,050|쿠팡_199,000|㈜근호컴_199,000",0,0
4638366,AEC BQ-615 Pro,"해외구매_37,780","해외구매_37,780","해외구매_37,780","해외구매_37,780","해외구매_37,780","해외구매_37,780","해외구매_37,780","해외구매_37,780","해외구매_37,780","해외구매_37,780",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14778488,AJAZZ AX365 7.1 채널 게이밍 해드셋,"정품_38,700|해외구매_36,590","정품_38,700|해외구매_36,590","정품_38,700|해외구매_36,590","정품_38,700|해외구매_36,590","정품_38,700|해외구매_36,590","정품_38,700|해외구매_36,590","정품_38,700|해외구매_36,590","정품_38,700|해외구매_36,590","정품_38,700|해외구매_36,590","정품_38,700|해외구매_36,590","정품_38,700|해외구매_36,590","정품_38,700|해외구매_36,590","정품_38,700|해외구매_36,590","정품_38,700|해외구매_36,590","정품_38,700|해외구매_36,590","정품_38,700|해외구매_36,590","정품_38,700|해외구매_36,590","정품_38,700|해외구매_36,590","정품_38,700|해외구매_36,590","정품_38,700|해외구매_36,590","정품_38,700|해외구매_36,590","정품_38,700|해외구매_36,590","정품_38,700|해외구매_36,590","정품_38,700|해외구매_36,590","정품_38,700|해외구매_36,590"
13317413,AKG LYRA,"정품_157,000|해외구매_156,000","정품_157,000|해외구매_156,000","정품_133,000|해외구매_147,200","정품_133,000|해외구매_147,200","정품_133,000|해외구매_147,200","정품_133,000|해외구매_147,200","정품_133,000|해외구매_147,200","정품_133,000|해외구매_147,200","정품_133,000|해외구매_147,200","정품_133,000|해외구매_147,200","정품_133,000|해외구매_147,200","정품_133,000|해외구매_147,200","정품_133,000|해외구매_147,200","정품_133,000|해외구매_156,000","정품_133,000|해외구매_156,000","정품_133,000|해외구매_156,000","정품_133,000|해외구매_154,990","정품_133,000|해외구매_142,600","정품_132,990|해외구매_142,600","정품_132,990|해외구매_142,600","정품_133,000|해외구매_142,600","정품_145,000|해외구매_142,600","정품_170,000|해외구매_142,600","정품_169,990|해외구매_143,380","정품_168,990|해외구매_143,380"
3776653,ANKER Classic A7908,"정품_23,850","정품_23,780","정품_23,730","정품_23,690",0,0,0,"정품_23,850","정품_23,750","정품_23,730","정품_24,050",0,0,0,"G마켓_24,080|롯데ON_24,090|11번가_25,390|신세계몰_25,900|SSG.COM_25,900","G마켓_24,080|롯데ON_24,090|11번가_25,390|신세계몰_25,900|인터파크_25,900","G마켓_24,080|롯데ON_24,090|11번가_25,390|신세계몰_25,900|인터파크_25,900","G마켓_24,080|롯데ON_24,090|11번가_25,390|인터파크_25,900|신세계몰_25,900","G마켓_24,080|롯데ON_24,090|SSG.COM_24,605|11번가_25,390|인터파크_25,900","G마켓_24,080|롯데ON_24,090|SSG.COM_24,605|11번가_25,390|신세계몰_25,900","G마켓_23,560|롯데ON_23,570|SSG.COM_24,605|11번가_25,390|신세계몰_25,900","G마켓_23,560|롯데ON_23,570|SSG.COM_24,605|11번가_25,390|신세계몰_25,900","G마켓_23,560|롯데ON_23,570|SSG.COM_24,605|11번가_25,390|신세계몰_25,900","G마켓_23,560|롯데ON_23,570|SSG.COM_24,605|11번가_25,390|인터파크_25,900","G마켓_23,570|롯데ON_23,570|SSG.COM_24,605|11번가_25,390|인터파크_25,900"
5626664,ANKER Soundcore 2,"해외구매_52,150","해외구매_52,150","해외구매_52,150","해외구매_56,710","해외구매_51,070",0,0,"해외구매_56,350","해외구매_52,150","해외구매_52,760","해외구매_52,760",0,0,0,"11번가_52,760|G마켓_52,780",0,0,0,0,"11번가_52,580|G마켓_52,600","11번가_53,060|G마켓_53,080","11번가_53,060|G마켓_53,080","11번가_53,060|G마켓_53,080","11번가_53,060|G마켓_53,080","11번가_53,670|G마켓_53,690"
14227157,ANKER Soundcore 3,"정품_49,900|해외구매_64,400","정품_49,900|해외구매_64,400","정품_49,900|해외구매_64,400","정품_49,900|해외구매_64,400","정품_49,900|해외구매_64,400","정품_49,900|해외구매_64,400","정품_49,900|해외구매_64,400","정품_49,900|해외구매_64,400","정품_49,900|해외구매_64,400","정품_49,900|해외구매_64,400","정품_49,900|해외구매_64,400","정품_49,900|해외구매_64,400","정품_49,900|해외구매_64,400","정품_49,900|해외구매_64,400","정품_49,900|해외구매_64,400","정품_49,900|해외구매_64,400","정품_49,900|해외구매_64,400","정품_49,900|해외구매_64,400","정품_49,900|해외구매_64,400","정품_49,900|해외구매_64,400","정품_49,900|해외구매_64,400","정품_49,900|해외구매_64,400","정품_49,900|해외구매_64,400","정품_49,900|해외구매_64,400","정품_49,900|해외구매_64,400"
