Id,Name,2023-05-01 10:26:52,2023-05-02 10:23:47,2023-05-03 10:24:37,2023-05-04 10:22:15,2023-05-05 10:16:20,2023-05-06 10:17:58,2023-05-07 10:28:18,2023-05-08 10:21:35,2023-05-09 10:23:23,2023-05-10 21:46:28,2023-05-11 10:22:36,2023-05-11 21:26:59,2023-05-12 10:22:52,2023-05-13 10:21:18,2023-05-14 10:27:46,2023-05-15 10:26:14,2023-05-16 10:25:14,2023-05-17 10:26:17,2023-05-18 10:24:26,2023-05-19 10:25:31,2023-05-20 10:22:21,2023-05-21 10:30:42,2023-05-22 10:28:10,2023-05-23 10:25:16,2023-05-24 10:30:26,2023-05-25 21:15:25,2023-05-26 10:26:57,2023-05-27 10:27:48,2023-05-28 10:42:55,2023-05-29 10:30:18,2023-05-30 10:32:13,2023-05-31 10:48:38
19306607,ACCLAMATOR N20 Series M.2 NVMe 해외구매,"512GB_75원/1GB_38,300","512GB_75원/1GB_38,300","512GB_75원/1GB_38,300","512GB_75원/1GB_38,290",0,0,0,0,0,"512GB_89원/1GB_45,410",0,"512GB_86원/1GB_43,900","512GB_86원/1GB_43,900","512GB_86원/1GB_43,900","512GB_79원/1GB_40,590","512GB_79원/1GB_40,590","512GB_80원/1GB_41,190","512GB_80원/1GB_41,190","512GB_80원/1GB_41,200","512GB_80원/1GB_41,200","512GB_74원/1GB_37,690","512GB_71원/1GB_36,160","512GB_70원/1GB_36,070","512GB_70원/1GB_36,050","70원/1GB_512GB_36,020","70원/1GB_512GB_35,840","70원/1GB_512GB_35,800","70원/1GB_512GB_35,710","70원/1GB_512GB_35,680","70원/1GB_512GB_35,590","69원/1GB_512GB_35,570","69원/1GB_512GB_35,470"
11830084,ADATA FALCON M.2 NVMe,"1TB_89,510|512GB_193원/1GB_98,990","1TB_89,510|512GB_193원/1GB_98,990","1TB_89,510|512GB_193원/1GB_98,990","1TB_89,510|512GB_193원/1GB_98,990",0,0,0,0,0,"1TB_92,780|512GB_193원/1GB_98,990",0,"1TB_92,780|512GB_193원/1GB_98,990","1TB_92,780|512GB_193원/1GB_98,990","1TB_92,780|512GB_193원/1GB_98,990","1TB_92,780|512GB_193원/1GB_98,990","1TB_92,780|512GB_193원/1GB_98,990","1TB_92,780|512GB_193원/1GB_98,990","1TB_92,780|512GB_193원/1GB_98,990","1TB_91,990|512GB_193원/1GB_98,990","1TB_91,990|512GB_193원/1GB_98,990","1TB_91,990|512GB_193원/1GB_98,990","1TB_91,990|512GB_193원/1GB_98,990","1TB_91,990|512GB_193원/1GB_98,990","1TB_91,990|512GB_193원/1GB_98,990","1TB_92원/1GB_91,990|512GB_193원/1GB_98,990","1TB_92원/1GB_91,990|512GB_193원/1GB_98,990","1TB_92원/1GB_91,990|512GB_281원/1GB_144,000","1TB_92원/1GB_91,990|512GB_281원/1GB_144,000","1TB_92원/1GB_91,990|512GB_281원/1GB_144,000","1TB_92원/1GB_91,990|512GB_281원/1GB_144,000","1TB_92원/1GB_91,990|512GB_281원/1GB_144,000","1TB_92원/1GB_91,990|512GB_253원/1GB_129,600"
20137274,ADATA IM2P33F3 M.2 2230 NVMe 벌크,0,0,0,0,0,0,0,0,0,0,0,0,"256GB_61원/1GB_15,730","256GB_61원/1GB_15,720","256GB_61원/1GB_15,730","256GB_61원/1GB_15,730","256GB_89원/1GB_22,750","256GB_89원/1GB_22,750","256GB_89원/1GB_22,750","256GB_89원/1GB_22,750","256GB_89원/1GB_22,750","256GB_89원/1GB_22,750","256GB_89원/1GB_22,750","256GB_89원/1GB_22,750","89원/1GB_256GB_22,750","89원/1GB_256GB_22,750","89원/1GB_256GB_22,750","89원/1GB_256GB_22,750","89원/1GB_256GB_22,750","89원/1GB_256GB_22,750","89원/1GB_256GB_22,750","89원/1GB_256GB_22,750"
18510746,ADATA IM2P33F3A M.2 2230 NVMe 벌크,"256GB_98원/1GB_25,000","256GB_98원/1GB_25,000","256GB_98원/1GB_25,000","256GB_98원/1GB_25,000",0,0,0,0,0,"256GB_98원/1GB_25,000",0,"256GB_98원/1GB_25,000","256GB_61원/1GB_15,740","256GB_61원/1GB_15,640","256GB_61원/1GB_15,510","256GB_60원/1GB_15,470","256GB_68원/1GB_17,290","256GB_68원/1GB_17,290","256GB_87원/1GB_22,370","256GB_87원/1GB_22,370","256GB_82원/1GB_20,930","256GB_81원/1GB_20,830","256GB_81원/1GB_20,820","256GB_81원/1GB_20,710","81원/1GB_256GB_20,620","80원/1GB_256GB_20,580","80원/1GB_256GB_20,580","80원/1GB_256GB_20,580","80원/1GB_256GB_20,580","80원/1GB_256GB_20,580","80원/1GB_256GB_20,580","80원/1GB_256GB_20,580"
17863742,ADATA LEGEND 700 M.2 NVMe,"1TB_61,990|512GB_70원/1GB_35,990|256GB_90원/1GB_22,990","1TB_61,990|512GB_70원/1GB_35,990|256GB_90원/1GB_22,990",0,0,0,0,0,0,0,0,0,0,0,"1TB_62,000|512GB_70원/1GB_36,000|256GB_90원/1GB_23,000","1TB_62,000|512GB_70원/1GB_36,000|256GB_90원/1GB_23,000","1TB_62,000|512GB_70원/1GB_36,000|256GB_90원/1GB_23,000","1TB_62,000|512GB_70원/1GB_36,000|256GB_90원/1GB_23,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17863826,ADATA LEGEND 700 M.2 NVMe,0,0,"1TB_61,790|512GB_70원/1GB_36,000|256GB_90원/1GB_23,000","1TB_62,000|512GB_70원/1GB_36,000|256GB_90원/1GB_23,000",0,0,0,0,0,"1TB_62,000|512GB_70원/1GB_36,000|256GB_90원/1GB_23,000",0,"1TB_62,000|512GB_70원/1GB_36,000|256GB_90원/1GB_23,000","1TB_62,000|512GB_70원/1GB_36,000|256GB_90원/1GB_23,000",0,0,0,0,"1TB_62,000|512GB_70원/1GB_36,000|256GB_90원/1GB_23,000","1TB_62,000|512GB_70원/1GB_36,000|256GB_90원/1GB_23,000","1TB_62,000|512GB_70원/1GB_36,000|256GB_90원/1GB_23,000","1TB_62,000|512GB_70원/1GB_36,000|256GB_90원/1GB_23,000","1TB_62,000|512GB_70원/1GB_36,000|256GB_90원/1GB_23,000","1TB_62,000|512GB_70원/1GB_36,000|256GB_90원/1GB_23,000","1TB_62,000|512GB_70원/1GB_36,000|256GB_90원/1GB_23,000","1TB_62원/1GB_62,000|512GB_70원/1GB_36,000|256GB_90원/1GB_23,000","1TB_62원/1GB_62,000|512GB_70원/1GB_36,000|256GB_90원/1GB_23,000","1TB_62원/1GB_62,000|512GB_70원/1GB_36,000|256GB_90원/1GB_23,000","1TB_62원/1GB_62,000|512GB_70원/1GB_36,000|256GB_90원/1GB_23,000","1TB_62원/1GB_62,000|512GB_70원/1GB_36,000|256GB_90원/1GB_23,000","1TB_62원/1GB_62,000|512GB_70원/1GB_36,000|256GB_90원/1GB_23,000","1TB_62원/1GB_62,000|512GB_70원/1GB_36,000|256GB_90원/1GB_23,000","1TB_62원/1GB_62,000|512GB_70원/1GB_36,000|256GB_90원/1GB_23,000"
17287469,ADATA LEGEND 710 M.2 NVMe,"1TB_63,250|512GB_96원/1GB_49,000|256GB_93원/1GB_23,790","1TB_63,230|512GB_96원/1GB_49,000|256GB_93원/1GB_23,770","1TB_63,150|512GB_96원/1GB_49,000|256GB_92원/1GB_23,670","1TB_63,470|512GB_72원/1GB_37,000|256GB_94원/1GB_24,000",0,0,0,0,0,"1TB_64,000|512GB_72원/1GB_37,000|256GB_94원/1GB_24,000",0,"1TB_64,000|512GB_72원/1GB_37,000|256GB_94원/1GB_24,000","1TB_64,000|512GB_72원/1GB_37,000|256GB_94원/1GB_24,000","1TB_64,000|512GB_72원/1GB_37,000|256GB_94원/1GB_24,000","1TB_64,000|512GB_72원/1GB_37,000|256GB_94원/1GB_24,000","1TB_64,000|512GB_72원/1GB_37,000|256GB_94원/1GB_24,000","1TB_64,000|512GB_72원/1GB_37,000|256GB_94원/1GB_24,000","1TB_63,990|512GB_72원/1GB_36,990|256GB_94원/1GB_23,990","1TB_63,990|512GB_72원/1GB_36,990|256GB_94원/1GB_23,990","1TB_63,990|512GB_72원/1GB_36,990|256GB_94원/1GB_23,990","1TB_64,000|512GB_72원/1GB_37,000|256GB_94원/1GB_24,000","1TB_64,000|512GB_72원/1GB_37,000|256GB_94원/1GB_24,000","1TB_64,000|512GB_72원/1GB_37,000|256GB_94원/1GB_24,000","1TB_64,000|512GB_72원/1GB_37,000|256GB_94원/1GB_24,000","1TB_64원/1GB_64,000|512GB_72원/1GB_37,000|256GB_94원/1GB_24,000","1TB_64원/1GB_64,000|512GB_72원/1GB_37,000|256GB_94원/1GB_24,000","1TB_64원/1GB_64,000|512GB_72원/1GB_37,000|256GB_94원/1GB_24,000","1TB_64원/1GB_64,000|512GB_72원/1GB_37,000|256GB_94원/1GB_24,000","1TB_64원/1GB_64,000|512GB_72원/1GB_37,000|256GB_94원/1GB_24,000","1TB_64원/1GB_64,000|512GB_72원/1GB_37,000|256GB_94원/1GB_24,000","1TB_64원/1GB_64,000|512GB_72원/1GB_37,000|256GB_94원/1GB_24,000","1TB_64원/1GB_63,990|512GB_72원/1GB_37,000|256GB_94원/1GB_24,000"
16778090,ADATA LEGEND 740 M.2 NVMe,"1TB_91,670|250GB_173원/1GB_43,230|500GB_116원/1GB_57,950","1TB_91,650|250GB_173원/1GB_43,230|500GB_116원/1GB_57,950","1TB_91,570|250GB_173원/1GB_43,230|500GB_116원/1GB_57,950","1TB_91,550|250GB_173원/1GB_43,230|500GB_116원/1GB_57,950",0,0,0,0,0,"1TB_91,000|250GB_173원/1GB_43,230|500GB_116원/1GB_57,950",0,"1TB_90,970|250GB_173원/1GB_43,230|500GB_116원/1GB_57,950","1TB_90,940|250GB_173원/1GB_43,230|500GB_116원/1GB_57,950","1TB_90,850|250GB_198원/1GB_49,590|500GB_116원/1GB_57,950","1TB_90,750|250GB_198원/1GB_49,590|500GB_116원/1GB_57,950","1TB_90,730|250GB_198원/1GB_49,590|500GB_116원/1GB_57,950","1TB_90,630|250GB_198원/1GB_49,590|500GB_116원/1GB_57,950","1TB_90,550|250GB_198원/1GB_49,590|500GB_116원/1GB_57,950","1TB_90,530|250GB_198원/1GB_49,590|500GB_116원/1GB_57,950","1TB_90,430|250GB_198원/1GB_49,590|500GB_116원/1GB_57,950","1TB_90,330|250GB_198원/1GB_49,590|500GB_116원/1GB_57,950","1TB_90,230|250GB_198원/1GB_49,590|500GB_116원/1GB_57,950","1TB_90,230|250GB_198원/1GB_49,590|500GB_116원/1GB_57,950","1TB_90,110|250GB_198원/1GB_49,590|500GB_116원/1GB_57,950","1TB_90원/1GB_90,020|250GB_198원/1GB_49,590|500GB_116원/1GB_57,950","1TB_90원/1GB_89,930|250GB_198원/1GB_49,590|500GB_116원/1GB_57,950","1TB_90원/1GB_89,930|250GB_198원/1GB_49,590|500GB_116원/1GB_57,950","1TB_91원/1GB_91,070|250GB_198원/1GB_49,590|500GB_116원/1GB_57,950","1TB_91원/1GB_91,070|250GB_198원/1GB_49,590|500GB_116원/1GB_57,950","1TB_91원/1GB_91,070|250GB_198원/1GB_49,590|500GB_116원/1GB_57,950","1TB_91원/1GB_91,070|250GB_198원/1GB_49,590|500GB_116원/1GB_57,950","1TB_91원/1GB_91,070|250GB_198원/1GB_49,590|500GB_116원/1GB_57,950"
13167411,ADATA LEGEND 750 M.2 NVMe,"1TB_84,990|500GB_98원/1GB_49,000","1TB_84,990|500GB_98원/1GB_49,000","1TB_85,000|500GB_98원/1GB_49,000","1TB_85,000|500GB_98원/1GB_49,000",0,0,0,0,0,"1TB_85,000|500GB_152원/1GB_75,820",0,"1TB_85,000|500GB_152원/1GB_75,750","1TB_85,000|500GB_151원/1GB_75,730","1TB_85,000|500GB_151원/1GB_75,730","1TB_85,000|500GB_152원/1GB_75,990","1TB_85,000|500GB_152원/1GB_75,990","1TB_85,000|500GB_95원/1GB_47,370","1TB_85,000|500GB_95원/1GB_47,370","1TB_85,000|500GB_95원/1GB_47,370","1TB_85,000|500GB_95원/1GB_47,370","1TB_85,000|500GB_95원/1GB_47,370","1TB_85,000|500GB_95원/1GB_47,370","1TB_85,000|500GB_95원/1GB_47,370","1TB_85,000|500GB_95원/1GB_47,370","1TB_85원/1GB_85,000|500GB_95원/1GB_47,370","1TB_85원/1GB_85,000|500GB_95원/1GB_47,370","1TB_85원/1GB_85,000|500GB_95원/1GB_47,370","1TB_85원/1GB_85,000|500GB_95원/1GB_47,370","1TB_85원/1GB_85,000|500GB_95원/1GB_47,370","1TB_85원/1GB_85,000|500GB_95원/1GB_47,370","1TB_85원/1GB_85,000|500GB_95원/1GB_47,370","1TB_85원/1GB_85,000|500GB_95원/1GB_47,370"
19353515,ADATA LEGEND 800 M.2 NVMe,"1TB_74,980|500GB_94원/1GB_47,000","1TB_74,980|500GB_94원/1GB_47,000","1TB_74,980|500GB_94원/1GB_47,000","1TB_75,000|500GB_94원/1GB_47,000",0,0,0,0,0,"1TB_75,000|500GB_94원/1GB_47,000",0,"1TB_75,000|500GB_94원/1GB_47,000","1TB_75,000|500GB_94원/1GB_47,000","1TB_75,000|500GB_94원/1GB_47,000","1TB_75,000|500GB_94원/1GB_47,000","1TB_75,000|500GB_94원/1GB_47,000","1TB_75,000|500GB_94원/1GB_47,000","1TB_75,000|500GB_94원/1GB_47,000","1TB_75,000|500GB_94원/1GB_47,000","1TB_75,000|500GB_94원/1GB_47,000","1TB_75,000|500GB_94원/1GB_47,000","1TB_75,000|500GB_94원/1GB_47,000","1TB_75,000|500GB_94원/1GB_47,000","1TB_75,000|500GB_94원/1GB_47,000","1TB_75원/1GB_75,000|500GB_94원/1GB_47,000","1TB_75원/1GB_75,000|500GB_94원/1GB_47,000","1TB_75원/1GB_75,000|500GB_94원/1GB_47,000","1TB_75원/1GB_75,000|500GB_94원/1GB_47,000","1TB_75원/1GB_75,000|500GB_94원/1GB_47,000","1TB_75원/1GB_75,000|500GB_94원/1GB_47,000","1TB_75원/1GB_75,000|500GB_94원/1GB_47,000","1TB_75원/1GB_75,000|500GB_94원/1GB_47,000"
