Id,Name,2026-07-01 13:26:48,2026-07-02 13:08:07,2026-07-03 12:51:42,2026-07-04 12:51:02,2026-07-05 13:09:29,2026-07-06 13:16:41,2026-07-07 13:06:48,2026-07-08 12:33:45,2026-07-09 12:59:09,2026-07-10 13:02:31,2026-07-11 12:29:07,2026-07-12 12:41:28,2026-07-13 12:43:37,2026-07-14 12:07:08,2026-07-15 12:05:01,2026-07-16 12:12:36,2026-07-17 12:26:40,2026-07-18 12:06:47,2026-07-19 12:31:16,2026-07-20 12:51:14,2026-07-21 12:32:31,2026-07-22 12:16:18,2026-07-23 12:23:34
3776653,ANKER Classic A7908,0,"정품_23,872","정품_23,872","정품_23,872","정품_23,872","정품_23,872","정품_23,872","정품_23,872","정품_23,872","정품_23,872","정품_23,620","정품_23,620","정품_24,115","정품_24,115","정품_24,115","정품_24,115","정품_24,115","정품_24,115",0,"정품_24,115","정품_23,872",0,0
72592721,ANKER Soundcore 2 A3105,"정품_37,900|해외구매_57,000","정품_37,900|해외구매_57,000","정품_37,900|해외구매_57,000","정품_37,900|해외구매_57,000","정품_37,900|해외구매_57,000","정품_44,900|해외구매_57,000","정품_44,900|해외구매_47,990","정품_44,900|해외구매_47,990","정품_44,900|해외구매_48,490","정품_44,900|해외구매_48,490","정품_44,900|해외구매_48,490","정품_44,900|해외구매_50,490","정품_39,900|해외구매_50,490","정품_39,900|해외구매_53,890","정품_39,900|해외구매_54,100","정품_39,900|해외구매_54,100","정품_39,900|해외구매_54,100","정품_39,900|해외구매_54,100",0,"정품_39,900|해외구매_54,100","정품_39,900|해외구매_54,100",0,0
14227157,ANKER Soundcore 3 A3117,"정품_53,900|해외구매_64,700","정품_53,900|해외구매_64,700","정품_53,900|해외구매_64,700","정품_53,900|해외구매_64,700","정품_53,900|해외구매_64,700","정품_64,890|해외구매_64,700","정품_64,900|해외구매_64,700","정품_64,900|해외구매_64,700","정품_64,900|해외구매_64,700","정품_64,900|해외구매_64,700","정품_64,900|해외구매_64,700","정품_64,900|해외구매_64,700","정품_54,900|해외구매_64,700","정품_54,900|해외구매_64,700","정품_54,900|해외구매_64,700","정품_54,900|해외구매_64,700","정품_54,900|해외구매_80,091","정품_54,900|해외구매_80,091",0,"정품_54,900|해외구매_80,091","정품_54,900|해외구매_79,738",0,0
14220101,ANKER Soundcore A3102,0,"해외구매_66,800","해외구매_66,800","해외구매_66,800","해외구매_66,800","해외구매_66,800","해외구매_66,800","해외구매_66,800","해외구매_66,800","해외구매_66,800","해외구매_66,800","해외구매_66,800","해외구매_66,800","해외구매_66,800","해외구매_66,800","해외구매_66,800","해외구매_66,800","해외구매_66,800",0,"해외구매_66,800","해외구매_66,800",0,0
12973187,ANKER Soundcore Flare 2 A3165,0,"해외구매_109,320","해외구매_109,320","해외구매_109,320","해외구매_109,320","해외구매_109,320","해외구매_109,320","해외구매_109,320","해외구매_109,320","해외구매_109,320","해외구매_109,320","해외구매_109,320","해외구매_109,320","해외구매_109,320","해외구매_109,320","해외구매_109,320","해외구매_109,320","해외구매_109,320",0,"해외구매_109,320","해외구매_109,320",0,0
35769236,ANKER Soundcore Glow Mini A3136,0,"정품_39,900|해외구매_52,000","정품_39,900|해외구매_52,000","정품_39,900|해외구매_52,000","정품_39,900|해외구매_52,000","정품_39,900|해외구매_52,000","정품_39,900|해외구매_52,000","정품_39,900|해외구매_52,000","정품_39,900|해외구매_52,000","정품_39,900|해외구매_52,000","정품_39,900|해외구매_52,000","정품_39,900|해외구매_52,000","정품_37,900|해외구매_52,000","정품_37,900|해외구매_52,000","정품_37,900|해외구매_50,960","정품_37,900|해외구매_50,960","정품_37,900|해외구매_50,960","정품_37,900|해외구매_50,960",0,"정품_37,900|해외구매_50,960","정품_37,900|해외구매_50,960",0,0
15981110,ANKER Soundcore Mini 3 A3119,0,"해외구매_71,200","해외구매_71,200","해외구매_71,200","해외구매_71,200","해외구매_71,200","해외구매_71,200","해외구매_71,200","해외구매_71,200","해외구매_59,040","해외구매_71,200","해외구매_71,200","해외구매_71,200","해외구매_71,200","해외구매_70,490","해외구매_71,200","해외구매_71,200","해외구매_71,200",0,"해외구매_71,200","해외구매_71,200",0,0
20137493,ANKER Soundcore Mini 3 Pro A3127,0,"해외구매_71,670","해외구매_71,670","해외구매_71,670","해외구매_71,670","해외구매_71,670","해외구매_71,670","해외구매_71,670","해외구매_71,670","해외구매_71,670","해외구매_71,670","해외구매_71,670","해외구매_71,670","해외구매_71,670","해외구매_71,670","해외구매_71,670","해외구매_71,670","해외구매_71,670",0,"해외구매_71,670","해외구매_71,670",0,0
37003868,ANKER Soundcore Motion 100,0,"해외구매_87,690","해외구매_87,690","해외구매_87,690","해외구매_87,690","해외구매_87,690","해외구매_87,690","해외구매_87,690","해외구매_87,690","해외구매_87,690","해외구매_87,690","해외구매_87,690","해외구매_87,690","해외구매_87,690","해외구매_87,680","해외구매_87,680","해외구매_87,690","해외구매_87,690",0,"해외구매_87,690","해외구매_87,690",0,0
36959993,ANKER Soundcore Motion 300 A3135,0,"해외구매_117,000","해외구매_117,000","해외구매_117,000","해외구매_117,000","해외구매_117,000","해외구매_117,000","해외구매_117,000","해외구매_117,000","해외구매_117,000","해외구매_117,000","해외구매_117,000","해외구매_117,000","해외구매_117,000","해외구매_117,000","해외구매_117,000","해외구매_117,000","해외구매_120,180",0,"해외구매_120,180","해외구매_120,180",0,0
