Id,Name,2026-04-01 12:21:17,2026-04-02 11:46:53,2026-04-03 11:49:19,2026-04-04 11:39:59,2026-04-05 11:57:54,2026-04-06 11:58:58,2026-04-07 11:52:46,2026-04-08 11:53:30,2026-04-09 11:48:20
49740182,ASRock B550M Pro RS 에즈윈,"123,970","124,070","123,960","123,880","123,880","123,880","123,770","123,770","123,770"
108398135,ASRock B550M Pro-A 대원씨티에스,가격비교예정,가격비교예정,가격비교예정,가격비교예정,가격비교예정,가격비교예정,가격비교예정,가격비교예정,0
13289012,ASRock B560 PRO4 에즈윈,"241,000","241,000","241,000","241,000","241,000","241,000",0,"241,000","241,000"
13289171,ASRock B560M PRO4 에즈윈,"220,000","220,000","220,000","220,000","220,000","220,000",0,"220,000","220,000"
18718865,ASRock B650 LiveMixer 대원씨티에스,"405,000","405,000","405,000","405,000","405,000","405,000","405,000","405,000","405,000"
19649354,ASRock B650 PG Lightning + WiFi6E 모듈 패키지 디앤디컴,"354,790","354,790","354,790","354,790","354,790","354,790","354,790","354,790","354,790"
17971598,ASRock B650 PG Lightning 대원씨티에스,"334,000","334,000","334,000","334,000","334,000","334,000","334,000","334,000","334,000"
17971196,ASRock B650 PG Lightning 디앤디컴,"323,750","323,750","323,750","323,750","323,750","323,750","323,750","323,750","323,750"
19648718,ASRock B650 Pro RS + WiFi6E 모듈 패키지 디앤디컴,"379,320","379,320","379,320","379,320","379,320","379,320",0,0,0
18718829,ASRock B650 Pro RS 대원씨티에스,"302,000","302,000","302,000","302,000","310,760","310,760","310,760","310,760","310,760"
17971202,ASRock B650 Pro RS 디앤디컴,"379,000","379,000","379,000","379,000","379,000","379,000","379,000","379,000","379,000"
17971247,ASRock B650 Pro RS 에즈윈,"329,000","329,000","329,000","329,000","329,000","329,000","329,000","329,000","329,000"
72304610,ASRock B650 스틸레전드 WiFi 대원씨티에스,"269,480","269,420","269,400","269,310","269,240","269,220","269,140","269,080","268,990"
64394135,ASRock B650 스틸레전드 WiFi 디앤디컴,"255,380","255,380","255,350","255,350","255,360","255,360","255,330","255,330","255,320"
18007478,ASRock B650E PG Riptide WiFi 대원씨티에스,"355,100","355,100","355,100","355,100","355,100","355,100","355,100","355,100","355,100"
18007499,ASRock B650E 스틸레전드 WiFi 대원씨티에스,"438,970","438,970","438,970","438,970","438,970","438,970","438,970","438,970",0
