Id,Name,2025-07-01 11:11:41,2025-07-02 11:00:26,2025-07-03 11:01:04,2025-07-04 11:00:28,2025-07-08 11:01:41,2025-07-09 11:02:38,2025-07-10 11:02:34,2025-07-11 11:05:21,2025-07-12 11:06:07,2025-07-13 11:20:17,2025-07-14 11:09:52,2025-07-15 11:09:55
18000296,AMD 라이젠 스레드리퍼 PRO 3995WX (캐슬 픽-W),0,0,0,0,0,"해외구매_9,464,900","해외구매_9,464,900","해외구매_9,464,900","해외구매_9,464,900","해외구매_9,464,900","해외구매_9,464,900","해외구매_9,464,900"
18055820,AMD 라이젠 스레드리퍼 PRO 5955WX (샤갈 프로),0,0,0,0,0,"_정품_1,750,940|_벌크 병행_1,485,850|해외구매_1,909,000","_정품_1,750,900|_벌크 병행_1,485,730|해외구매_1,909,000","_정품_1,750,870|_벌크 병행_1,485,650|해외구매_1,909,000","_정품_1,750,860|_벌크 병행_1,488,990|해외구매_1,550,700","_정품_1,750,820|_벌크 병행_1,488,990|해외구매_1,550,700","_정품_1,750,700|_벌크 병행_1,488,990|해외구매_1,387,510","_정품_1,750,580|_벌크 병행_1,488,990|해외구매_1,454,950"
17570816,AMD 라이젠 스레드리퍼 PRO 5965WX (샤갈 프로),0,0,0,0,0,"_정품_2,599,000|_해외구매_3,024,090","_정품_2,599,000|_해외구매_3,024,090","_정품_2,599,000|_해외구매_3,024,090","_정품_2,599,000|_해외구매_3,024,090","_정품_2,599,000|_해외구매_3,024,090","_정품_2,599,000|_해외구매_3,024,090","_정품_2,599,000|_해외구매_3,024,090"
20685467,AMD 라이젠 스레드리퍼 PRO 5975WX (샤갈 프로),0,0,0,0,0,"멀티팩 정품_3,589,000|_정품_3,589,990|_해외구매_4,381,420","멀티팩 정품_3,589,000|_정품_3,589,990|_해외구매_4,381,420","멀티팩 정품_3,589,000|_정품_3,589,990|_해외구매_4,381,420","멀티팩 정품_3,589,000|_정품_3,589,990|_해외구매_2,786,490","멀티팩 정품_3,589,000|_정품_3,589,990|_해외구매_2,786,490","멀티팩 정품_3,589,000|_정품_3,589,990|_해외구매_2,786,490","멀티팩 정품_3,589,000|_정품_3,589,990|_해외구매_2,786,490"
17570783,AMD 라이젠 스레드리퍼 PRO 5995WX (샤갈 프로),0,0,0,0,0,"정품_7,990,450","정품_7,990,450","정품_8,080,170","정품_8,080,170","정품_8,080,170","정품_8,080,170","정품_8,080,170"
72674036,AMD 라이젠 스레드리퍼 PRO 7955WX (스톰 픽),0,0,0,0,0,"_멀티팩 정품_2,784,860|_정품_2,693,940","_멀티팩 정품_3,843,000|_정품_2,698,990","_멀티팩 정품_3,843,000|_정품_2,698,990","_멀티팩 정품_3,843,000|_정품_2,698,990","_멀티팩 정품_3,843,000|_정품_2,698,990","_멀티팩 정품_3,843,000|_정품_2,698,990","_멀티팩 정품_3,843,000|_정품_2,698,990"
30143039,AMD 라이젠 스레드리퍼 PRO 7965WX (스톰 픽),0,0,0,0,0,"_멀티팩 정품_3,699,980|_정품_4,213,000","_멀티팩 정품_3,699,980|_정품_4,213,000","_멀티팩 정품_3,699,910|_정품_4,213,000","_멀티팩 정품_3,699,900|_정품_4,213,000","_멀티팩 정품_3,699,860|_정품_4,213,000","_멀티팩 정품_3,699,740|_정품_4,213,000","_멀티팩 정품_3,699,620|_정품_4,043,050"
30143105,AMD 라이젠 스레드리퍼 PRO 7975WX (스톰 픽),0,0,0,0,0,"_멀티팩 정품_6,152,000|_정품_20,000,000|해외구매_7,463,810","_멀티팩 정품_6,152,000|_정품_20,000,000|해외구매_7,463,810","_멀티팩 정품_6,132,330|_정품_20,000,000|해외구매_7,463,810","_멀티팩 정품_6,132,320|_정품_20,000,000|해외구매_7,463,810","_멀티팩 정품_6,132,280|_정품_20,000,000|해외구매_7,463,810","_멀티팩 정품_6,132,160|_정품_20,000,000|해외구매_7,463,810","_멀티팩 정품_6,132,040|_정품_20,000,000|해외구매_7,463,810"
30143060,AMD 라이젠 스레드리퍼 PRO 7985WX (스톰 픽),0,0,0,0,0,"_멀티팩 정품_10,049,990|_정품_10,010,000","_멀티팩 정품_10,049,990|_정품_10,010,000","_멀티팩 정품_10,049,990|_정품_10,010,000","_멀티팩 정품_10,049,990|_정품_10,010,000","_멀티팩 정품_9,988,980|_정품_10,010,000","_멀티팩 정품_9,988,860|_정품_10,010,000","_멀티팩 정품_9,988,740|_정품_10,010,000"
30142979,AMD 라이젠 스레드리퍼 PRO 7995WX (스톰 픽),0,0,0,0,0,"_멀티팩 정품_14,899,980|_정품_13,990,000|해외구매_13,852,490","_멀티팩 정품_14,899,980|_정품_13,990,000|해외구매_13,852,490","_멀티팩 정품_14,899,980|_정품_13,990,000|해외구매_13,852,490","_멀티팩 정품_14,899,980|_정품_13,990,000|해외구매_13,852,490","_멀티팩 정품_14,899,980|_정품_13,990,000|해외구매_13,852,490","_멀티팩 정품_14,899,970|_정품_13,990,000|해외구매_13,852,490","_멀티팩 정품_14,899,980|_정품_13,990,000|해외구매_13,852,490"
