Id,Name,2024-05-01 10:21:29,2024-05-02 10:15:55,2024-05-03 10:19:36,2024-05-04 10:16:11,2024-05-05 10:21:44,2024-05-06 10:18:10,2024-05-07 10:18:14,2024-05-08 10:05:27,2024-05-09 10:17:54,2024-05-10 10:18:37,2024-05-11 10:17:24,2024-05-12 10:23:41,2024-05-13 10:20:11,2024-05-14 10:18:40
29888390,Lexar NM790 M.2 NVMe,"4TB_90원/1GB_359,900|2TB_99원/1GB_197,480|1TB_89원/1GB_89,000|512GB_123원/1GB_63,000",0,0,"4TB_90원/1GB_359,900|2TB_99원/1GB_197,480|1TB_110원/1GB_109,890|512GB_146원/1GB_74,790","4TB_90원/1GB_359,900|2TB_99원/1GB_197,480|1TB_110원/1GB_109,890|512GB_146원/1GB_74,790","4TB_90원/1GB_359,900|2TB_99원/1GB_197,480|1TB_110원/1GB_109,890|512GB_146원/1GB_74,790","4TB_90원/1GB_359,900|2TB_99원/1GB_197,480|1TB_110원/1GB_109,890|512GB_146원/1GB_74,790","4TB_90원/1GB_359,900|2TB_84원/1GB_168,000|1TB_110원/1GB_109,890|512GB_123원/1GB_63,000","4TB_90원/1GB_359,900|2TB_84원/1GB_168,000|1TB_110원/1GB_109,890|512GB_123원/1GB_63,000","4TB_90원/1GB_359,900|2TB_84원/1GB_168,000|1TB_110원/1GB_109,890|512GB_123원/1GB_63,000","4TB_90원/1GB_359,900|2TB_84원/1GB_168,000|1TB_110원/1GB_109,890|512GB_123원/1GB_63,000","4TB_90원/1GB_359,900|2TB_84원/1GB_168,000|1TB_110원/1GB_109,890|512GB_123원/1GB_63,000","4TB_90원/1GB_359,900|2TB_84원/1GB_168,000|1TB_110원/1GB_109,890|512GB_123원/1GB_63,000","4TB_90원/1GB_359,900|2TB_84원/1GB_168,000|1TB_110원/1GB_109,890|512GB_123원/1GB_63,000"
29888366,Lexar NM790 M.2 NVMe,0,"4TB_90원/1GB_359,900|2TB_99원/1GB_197,480|1TB_89원/1GB_89,000|512GB_123원/1GB_63,000","4TB_90원/1GB_359,900|2TB_99원/1GB_197,480|1TB_89원/1GB_89,000|512GB_123원/1GB_63,000",0,0,0,0,0,0,0,0,0,0,0
33421589,Lexar NM790 히트싱크 M.2 NVMe,"4TB_92원/1GB_369,990|2TB_88원/1GB_176,000","4TB_92원/1GB_369,990|2TB_88원/1GB_176,000","4TB_92원/1GB_369,990|2TB_88원/1GB_176,000","4TB_92원/1GB_369,990|2TB_88원/1GB_176,000","4TB_92원/1GB_369,990|2TB_88원/1GB_176,000","4TB_92원/1GB_369,990|2TB_88원/1GB_176,000","4TB_92원/1GB_369,990|2TB_88원/1GB_176,000","4TB_92원/1GB_369,990|2TB_88원/1GB_176,000","4TB_92원/1GB_369,990|2TB_88원/1GB_176,000","4TB_92원/1GB_369,990|2TB_88원/1GB_176,000","4TB_92원/1GB_369,990|2TB_88원/1GB_176,000","4TB_92원/1GB_369,990|2TB_88원/1GB_176,000","4TB_92원/1GB_369,990|2TB_88원/1GB_176,000","4TB_92원/1GB_369,990|2TB_88원/1GB_176,000"
15202664,Lite-On CL1-8D M.2 NVMe 벌크,"256GB_121원/1GB_30,900|128GB_54원/1GB_6,970","256GB_121원/1GB_30,900|128GB_54원/1GB_6,920","256GB_121원/1GB_30,900|128GB_54원/1GB_6,910","256GB_121원/1GB_30,900|128GB_54원/1GB_6,910","256GB_121원/1GB_30,900|128GB_54원/1GB_6,910","256GB_121원/1GB_30,900|128GB_54원/1GB_6,910","256GB_94원/1GB_24,000|128GB_54원/1GB_6,910","256GB_94원/1GB_24,000|128GB_54원/1GB_6,910","256GB_94원/1GB_24,000|128GB_54원/1GB_6,940","256GB_94원/1GB_24,000|128GB_54원/1GB_6,940","256GB_94원/1GB_24,000|128GB_55원/1GB_6,980","256GB_94원/1GB_24,000|128GB_55원/1GB_7,020","256GB_94원/1GB_24,000|128GB_55원/1GB_7,020","256GB_94원/1GB_24,000|128GB_55원/1GB_7,020"
21585776,Lite-On CL4-4D M.2 2242 NVMe 벌크,0,0,"70원/1GB_256GB_17,850","70원/1GB_256GB_17,850","70원/1GB_256GB_17,850","70원/1GB_256GB_17,850","70원/1GB_256GB_17,850","70원/1GB_256GB_17,850","70원/1GB_256GB_17,850","70원/1GB_256GB_17,850","70원/1GB_256GB_17,850",0,0,0
4381967,Lite-On CV1 중고,0,0,0,0,0,0,0,0,0,"128GB_58원/1GB_7,380|256GB_141원/1GB_36,000","128GB_58원/1GB_7,380|256GB_141원/1GB_36,000","128GB_58원/1GB_7,380|256GB_141원/1GB_36,000","128GB_58원/1GB_7,380|256GB_141원/1GB_36,000",0
6099607,Lite-On CV3 M.2 SATA 중고,0,0,0,0,0,0,0,"66원/1GB_128GB_8,490","66원/1GB_128GB_8,490","66원/1GB_128GB_8,490",0,0,0,0
11366745,Lite-On CV8 M.2 SATA 벌크,0,0,0,0,0,0,0,0,0,0,"92원/1GB_128GB_11,820","93원/1GB_128GB_11,890","93원/1GB_128GB_11,890","93원/1GB_128GB_11,890"
13427999,M.2 SSD 고정용 나사,"10개입_800|5개입_2,180|1개입_2,180","10개입_800|5개입_2,180|1개입_2,180",10개입_800,10개입_800,10개입_800,10개입_800,0,10개입_800,10개입_800,10개입_800,10개입_800,10개입_800,10개입_800,10개입_800
37932155,MAXTEK 2.5형 HDD 케이스 (MT200),"1,600","1,600","1,600","1,600","1,600","1,600","1,600","1,600","1,600","1,600",0,0,0,0
37932176,MAXTEK 2.5형 HDD 케이스 (MT201),"1,600","1,600","1,600","1,600","1,600","1,600","1,600","1,600","1,600","1,600",0,"1,600","1,600",0
15725393,MG BX3510 하드보관함,0,"26,500","26,500","26,500","26,500","26,215",0,"26,215","26,500","26,500","26,500","26,500",0,0
15725492,MG BX3826 하드보관함,"26,500","26,500","26,500","26,390",0,0,0,0,0,0,0,0,0,0
18966185,MSI SPATIUM M371 M.2 NVMe 해외구매,"2TB_70원/1GB_140,630|1TB_73원/1GB_73,360|500GB_109원/1GB_54,400","2TB_70원/1GB_140,630|1TB_73원/1GB_73,360|500GB_109원/1GB_54,400","2TB_70원/1GB_140,630|1TB_80원/1GB_79,700|500GB_109원/1GB_54,400","2TB_70원/1GB_140,630|1TB_80원/1GB_79,700|500GB_109원/1GB_54,400","2TB_70원/1GB_140,630|1TB_80원/1GB_79,700|500GB_109원/1GB_54,400","2TB_70원/1GB_140,630|1TB_80원/1GB_79,700|500GB_109원/1GB_54,400","2TB_70원/1GB_140,630|1TB_80원/1GB_79,700|500GB_109원/1GB_54,400","2TB_63원/1GB_126,140|1TB_80원/1GB_79,700|500GB_109원/1GB_54,400","2TB_70원/1GB_140,630|1TB_80원/1GB_79,700|500GB_109원/1GB_54,400","2TB_70원/1GB_140,630|1TB_80원/1GB_79,700|500GB_109원/1GB_54,400","2TB_70원/1GB_140,630|1TB_80원/1GB_79,700|500GB_109원/1GB_54,400","2TB_69원/1GB_137,440|1TB_80원/1GB_79,700|500GB_109원/1GB_54,400","2TB_69원/1GB_137,440|1TB_80원/1GB_79,700|500GB_109원/1GB_54,400","2TB_69원/1GB_137,440|1TB_80원/1GB_79,700|500GB_109원/1GB_54,400"
28248518,MSI SPATIUM M450 M.2 NVMe,"2TB_81원/1GB_162,790|1TB_114원/1GB_113,840|500GB_127원/1GB_63,350","2TB_81원/1GB_162,790|1TB_114원/1GB_113,840|500GB_127원/1GB_63,350","2TB_81원/1GB_162,790|1TB_114원/1GB_113,840|500GB_127원/1GB_63,350","2TB_81원/1GB_162,790|1TB_114원/1GB_113,840|500GB_127원/1GB_63,350","2TB_81원/1GB_162,790|1TB_114원/1GB_113,840|500GB_127원/1GB_63,350","2TB_81원/1GB_162,790|1TB_114원/1GB_113,840|500GB_127원/1GB_63,350","2TB_81원/1GB_162,790|1TB_114원/1GB_113,840|500GB_127원/1GB_63,350","2TB_81원/1GB_162,790|1TB_114원/1GB_113,840|500GB_127원/1GB_63,350","2TB_81원/1GB_162,790|1TB_114원/1GB_113,840|500GB_127원/1GB_63,350","2TB_81원/1GB_162,790|1TB_114원/1GB_113,840|500GB_127원/1GB_63,350","2TB_81원/1GB_162,800|1TB_114원/1GB_113,850|500GB_127원/1GB_63,360","2TB_81원/1GB_162,800|1TB_114원/1GB_113,850|500GB_127원/1GB_63,360","2TB_81원/1GB_162,800|1TB_114원/1GB_113,850|500GB_127원/1GB_63,360","2TB_81원/1GB_162,800|1TB_114원/1GB_113,850|500GB_127원/1GB_63,360"
35235131,MSI SPATIUM M460 M.2 NVMe,"119원/1GB_1TB_119,340","119원/1GB_1TB_119,340","119원/1GB_1TB_119,340","119원/1GB_1TB_119,340","119원/1GB_1TB_119,340","119원/1GB_1TB_119,340","119원/1GB_1TB_119,340","119원/1GB_1TB_119,340","119원/1GB_1TB_119,340","119원/1GB_1TB_119,340","119원/1GB_1TB_119,350","119원/1GB_1TB_119,350","119원/1GB_1TB_119,350","119원/1GB_1TB_119,350"
