Id,Name,2026-09-01 13:53:58,2026-09-02 13:19:09,2026-09-03 13:11:27,2026-09-04 13:22:00,2026-09-05 13:12:29,2026-09-06 13:22:10,2026-09-07 13:21:49,2026-09-08 13:25:33,2026-09-09 13:24:32,2026-09-11 13:20:00,2026-09-13 13:18:48,2026-09-14 13:25:22,2026-09-15 13:25:23,2026-09-16 13:24:45,2026-09-17 13:27:49,2026-09-18 13:12:01,2026-09-19 13:09:51
77378348,"APPLE 맥북에어15 M4 10코어 CPU, 10코어 GPU 실버","램16GB, SSD 256GB_2,389,990|_램16GB, SSD 512GB_1,943,700|_램24GB, SSD 512GB_2,243,400","램16GB, SSD 256GB_2,389,990|_램16GB, SSD 512GB_1,943,700|_램24GB, SSD 512GB_2,243,320",0,0,0,"램16GB, SSD 256GB_2,389,990|_램16GB, SSD 512GB_1,943,700|_램24GB, SSD 512GB_2,240,850",0,0,0,0,0,0,0,0,0,"램16GB, SSD 256GB_2,389,990|_램16GB, SSD 512GB_2,377,200|_램24GB, SSD 512GB_2,241,290","램16GB, SSD 256GB_2,389,990|_램16GB, SSD 512GB_2,377,200|_램24GB, SSD 512GB_2,241,290"
106755149,"APPLE 맥북에어15 M5 10코어 CPU, 10코어 GPU 골드",0,0,0,0,0,0,0,"램16GB, SSD 512GB_2,340,600|램16GB, SSD 1TB_2,792,990|_램24GB, SSD 1TB_3,109,540|_램24GB, SSD 512GB_2,830,000","램16GB, SSD 512GB_2,318,190|램16GB, SSD 1TB_2,792,990|_램24GB, SSD 1TB_3,109,540|_램24GB, SSD 512GB_2,780,200","램16GB, SSD 512GB_2,318,190|램16GB, SSD 1TB_2,759,000|_램24GB, SSD 1TB_3,109,540|_램24GB, SSD 512GB_2,830,000","램16GB, SSD 512GB_2,318,190|램16GB, SSD 1TB_2,819,990|_램24GB, SSD 1TB_3,109,540|_램24GB, SSD 512GB_2,830,000","_램16GB, SSD 512GB_2,318,190|램16GB, SSD 1TB_2,819,990|_램24GB, SSD 1TB_3,109,540|램24GB, SSD 512GB_2,830,000",0,0,0,0,0
106755155,"APPLE 맥북에어15 M5 10코어 CPU, 10코어 GPU 블루","_램16GB, SSD 512GB_2,365,500|램16GB, SSD 1TB_2,793,000|_램24GB, SSD 512GB_2,690,000|램24GB, SSD 1TB_3,109,540","_램16GB, SSD 512GB_2,365,490|램16GB, SSD 1TB_2,793,000|_램24GB, SSD 512GB_2,780,000|램24GB, SSD 1TB_3,109,540","_램16GB, SSD 512GB_2,365,490|램16GB, SSD 1TB_2,792,990|_램24GB, SSD 512GB_2,780,000|램24GB, SSD 1TB_3,139,590",0,"_램16GB, SSD 512GB_2,365,490|램16GB, SSD 1TB_2,792,990|램24GB, SSD 512GB_2,780,000|_램24GB, SSD 1TB_3,109,540",0,"_램16GB, SSD 512GB_2,589,990|램16GB, SSD 1TB_2,792,990|_램24GB, SSD 1TB_3,109,540","_램16GB, SSD 512GB_2,365,500|램16GB, SSD 1TB_2,792,990|램24GB, SSD 512GB_2,780,200|_램24GB, SSD 1TB_3,109,540","_램16GB, SSD 512GB_2,365,490|램16GB, SSD 1TB_2,792,990|램24GB, SSD 512GB_2,780,200|_램24GB, SSD 1TB_3,109,540",0,0,0,0,0,0,0,0
106755071,"APPLE 맥북에어15 M5 10코어 CPU, 10코어 GPU 스카이",0,0,0,"_램16GB, SSD 512GB_2,518,600|램16GB, SSD 1TB_2,792,990|_램24GB, SSD 1TB_3,109,540","_램16GB, SSD 512GB_2,601,600|램16GB, SSD 1TB_2,792,990|_램24GB, SSD 1TB_3,109,540","_램16GB, SSD 512GB_2,601,600|램16GB, SSD 1TB_2,792,990|_램24GB, SSD 1TB_3,109,540","_램16GB, SSD 512GB_2,440,000|램16GB, SSD 1TB_2,792,990|_램24GB, SSD 1TB_3,109,540","_램16GB, SSD 512GB_2,365,500|램16GB, SSD 1TB_2,792,990|_램24GB, SSD 1TB_3,109,540","_램16GB, SSD 512GB_2,318,190|램16GB, SSD 1TB_2,792,990|램24GB, SSD 512GB_2,780,200|_램24GB, SSD 1TB_3,109,540",0,0,0,"_램16GB, SSD 512GB_2,318,190|램16GB, SSD 1TB_2,792,990|_램24GB, SSD 512GB_2,680,600|램24GB, SSD 1TB_3,109,540|램32GB, SSD 1TB_3,680,000","_램16GB, SSD 512GB_2,318,190|램16GB, SSD 1TB_2,792,990|_램24GB, SSD 512GB_2,634,730|램24GB, SSD 1TB_3,126,240|램32GB, SSD 1TB_3,680,000","_램16GB, SSD 512GB_2,318,190|램16GB, SSD 1TB_2,793,000|_램24GB, SSD 512GB_2,680,600|램24GB, SSD 1TB_3,126,240|램32GB, SSD 1TB_3,680,000","_램16GB, SSD 512GB_2,318,190|램16GB, SSD 1TB_2,793,000|_램24GB, SSD 512GB_2,634,730|램24GB, SSD 1TB_3,142,280|램32GB, SSD 1TB_3,680,000",0
106755140,"APPLE 맥북에어15 M5 10코어 CPU, 10코어 GPU 실버","_램16GB, SSD 512GB_2,350,000|램16GB, SSD 1TB_2,793,000|_램24GB, SSD 512GB_2,690,000|램24GB, SSD 1TB_3,109,540",0,0,0,0,"_램16GB, SSD 512GB_2,318,190|_램16GB, SSD 1TB_2,792,990|램24GB, SSD 1TB_3,109,540","_램16GB, SSD 512GB_2,318,190|_램16GB, SSD 1TB_2,792,990|램24GB, SSD 1TB_3,109,540","_램16GB, SSD 512GB_2,318,190|램16GB, SSD 1TB_2,792,990|_램24GB, SSD 512GB_2,780,200|램24GB, SSD 1TB_3,109,540","_램16GB, SSD 512GB_2,318,190|램16GB, SSD 1TB_2,792,990|_램24GB, SSD 512GB_2,780,200|램24GB, SSD 1TB_3,109,540|램32GB, SSD 2TB_4,329,600",0,"_램16GB, SSD 512GB_2,318,190|램16GB, SSD 1TB_2,792,990|_램24GB, SSD 512GB_2,680,600|램24GB, SSD 1TB_3,109,540|램32GB, SSD 1TB_3,680,000|램32GB, SSD 2TB_4,316,240","_램16GB, SSD 512GB_2,318,190|램16GB, SSD 1TB_2,792,990|_램24GB, SSD 512GB_2,680,600|램24GB, SSD 1TB_3,142,280|램32GB, SSD 2TB_4,316,240","_램16GB, SSD 512GB_2,318,190|램16GB, SSD 1TB_2,793,000|_램24GB, SSD 512GB_2,680,600|램24GB, SSD 1TB_3,142,280|램32GB, SSD 2TB_4,316,240","_램16GB, SSD 512GB_2,318,190|램16GB, SSD 1TB_2,793,000|_램24GB, SSD 512GB_2,634,730|램24GB, SSD 1TB_3,142,280|램32GB, SSD 2TB_4,316,240","_램16GB, SSD 512GB_2,318,190|램16GB, SSD 1TB_2,793,000|_램24GB, SSD 512GB_2,680,600|램24GB, SSD 1TB_3,142,280|램32GB, SSD 2TB_4,316,240","_램16GB, SSD 512GB_2,318,190|램16GB, SSD 1TB_2,793,000|_램24GB, SSD 512GB_2,624,730|램24GB, SSD 1TB_3,142,280|램32GB, SSD 2TB_4,316,240","_램16GB, SSD 512GB_2,318,190|램16GB, SSD 1TB_2,793,000|_램24GB, SSD 512GB_2,680,600|램24GB, SSD 1TB_3,126,240|램32GB, SSD 2TB_4,316,240"
18788333,"APPLE 맥북프로14 M2프로 10코어 CPU, 16코어 GPU 그레이","_램16GB, SSD 512GB_2,218,990|_램32GB, SSD 512GB_2,587,990","_램16GB, SSD 512GB_2,218,990|_램32GB, SSD 512GB_2,587,990",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99125957,"APPLE 맥북프로14 M5 10코어 CPU, 10코어 GPU 블랙",0,0,0,0,0,0,0,0,0,0,0,0,"램16GB, SSD 512GB_3,091,200|_램16GB, SSD 1TB_2,969,130|_램24GB, SSD 1TB_3,227,100","램16GB, SSD 512GB_3,091,200|_램16GB, SSD 1TB_2,969,050|_램24GB, SSD 1TB_3,227,100","램16GB, SSD 512GB_3,091,200|_램16GB, SSD 1TB_2,969,210|_램24GB, SSD 1TB_3,227,100","램16GB, SSD 512GB_3,091,200|_램16GB, SSD 1TB_2,948,090|_램24GB, SSD 1TB_3,227,100","램16GB, SSD 512GB_3,091,200|_램16GB, SSD 1TB_2,848,580|_램24GB, SSD 1TB_3,227,100|램32GB, SSD 2TB_4,552,290"
99126182,"APPLE 맥북프로14 M5 10코어 CPU, 10코어 GPU 실버","_램16GB, SSD 1TB_3,047,360|램16GB, SSD 512GB_4,030,180|_램24GB, SSD 1TB_3,362,280|램32GB, SSD 2TB_4,552,290","_램16GB, SSD 1TB_3,047,360|램16GB, SSD 512GB_4,030,180|_램24GB, SSD 1TB_3,362,280|램32GB, SSD 2TB_4,552,290","_램16GB, SSD 1TB_3,047,360|램16GB, SSD 512GB_4,030,160|_램24GB, SSD 1TB_3,362,280|램32GB, SSD 2TB_4,552,290","_램16GB, SSD 1TB_3,023,820|램16GB, SSD 512GB_4,030,120|_램24GB, SSD 1TB_3,362,280|램32GB, SSD 2TB_4,552,290","_램16GB, SSD 1TB_3,026,610|램16GB, SSD 512GB_4,030,060|_램24GB, SSD 1TB_3,379,520|램32GB, SSD 2TB_4,552,290","_램16GB, SSD 1TB_3,026,610|램16GB, SSD 512GB_4,030,010|_램24GB, SSD 1TB_3,379,520|램32GB, SSD 2TB_4,552,290","_램16GB, SSD 1TB_3,026,610|램16GB, SSD 512GB_4,030,000|_램24GB, SSD 1TB_3,379,520|램32GB, SSD 2TB_4,552,290","_램16GB, SSD 1TB_3,026,790|램16GB, SSD 512GB_4,029,990|_램24GB, SSD 1TB_3,379,530|램32GB, SSD 2TB_4,552,290","_램16GB, SSD 1TB_3,026,790|램16GB, SSD 512GB_4,029,990|_램24GB, SSD 1TB_3,379,530|램32GB, SSD 2TB_4,528,650",0,"_램16GB, SSD 1TB_3,026,790|램16GB, SSD 512GB_3,469,990|_램24GB, SSD 1TB_3,379,530|램32GB, SSD 2TB_4,552,290","_램16GB, SSD 1TB_2,969,210|램16GB, SSD 512GB_3,469,990|_램24GB, SSD 1TB_3,059,700|램32GB, SSD 2TB_4,552,290",0,0,"_램16GB, SSD 1TB_2,969,140|램16GB, SSD 512GB_3,469,990|_램24GB, SSD 1TB_3,059,700","_램16GB, SSD 1TB_2,969,020|램16GB, SSD 512GB_3,469,990|_램24GB, SSD 1TB_3,059,700","_램16GB, SSD 1TB_2,848,580|램16GB, SSD 512GB_3,469,990|_램24GB, SSD 1TB_3,059,700|램32GB, SSD 2TB_4,552,290"
106755608,"APPLE 맥북프로14 M5맥스 18코어 CPU, 32코어 GPU 블랙","램36GB, SSD 2TB_5,870,990",0,0,0,0,0,0,"램36GB, SSD 2TB_6,151,190","램36GB, SSD 2TB_6,151,190",0,0,0,0,0,0,0,0
106755632,"APPLE 맥북프로14 M5맥스 18코어 CPU, 32코어 GPU 실버",0,0,0,0,0,0,0,0,0,"램36GB, SSD 2TB_5,871,590","램36GB, SSD 2TB_5,871,590","램36GB, SSD 2TB_5,871,590","램36GB, SSD 2TB_5,871,590",0,0,0,0
