Id,Name,2026-07-01 13:22:21,2026-07-02 13:02:41,2026-07-03 12:46:18,2026-07-04 12:39:43,2026-07-05 12:58:12,2026-07-06 13:05:16,2026-07-07 12:55:43,2026-07-08 12:22:41,2026-07-09 12:48:08,2026-07-10 12:50:42,2026-07-11 12:17:14,2026-07-12 12:28:43,2026-07-13 12:31:49,2026-07-14 11:54:43,2026-07-15 11:52:56,2026-07-16 11:59:49,2026-07-17 12:16:29,2026-07-18 11:54:31,2026-07-19 12:25:04,2026-07-20 12:38:55,2026-07-21 12:19:58
122616740,ADATA DDR5-5600 CL46 ECC/REG 서린,0,0,0,"64GB_60,893원/1GB_3,897,120","64GB_60,892원/1GB_3,897,110","64GB_60,893원/1GB_3,897,120","64GB_60,892원/1GB_3,897,110","64GB_60,893원/1GB_3,897,120","64GB_60,892원/1GB_3,897,110","64GB_60,893원/1GB_3,897,120","64GB_60,892원/1GB_3,897,110","64GB_60,892원/1GB_3,897,110","64GB_60,893원/1GB_3,897,120","64GB_60,893원/1GB_3,897,120","64GB_60,892원/1GB_3,897,110","64GB_60,893원/1GB_3,897,120","64GB_60,892원/1GB_3,897,110","64GB_60,892원/1GB_3,897,110",0,"64GB_60,893원/1GB_3,897,120","64GB_63,937원/1GB_4,091,980"
105818030,ADATA DDR5-5600 CL46 ECC/REG 파인인포,"_16GB_62,999원/1GB_1,007,990|32GB_52,500원/1GB_1,680,000|_64GB_55,546원/1GB_3,554,940","_16GB_62,999원/1GB_1,007,990|32GB_52,500원/1GB_1,680,000|_64GB_55,546원/1GB_3,554,940","_16GB_62,999원/1GB_1,007,990|_64GB_55,546원/1GB_3,554,940","_16GB_62,999원/1GB_1,007,990|_64GB_55,546원/1GB_3,554,940","_16GB_62,999원/1GB_1,007,990|_64GB_55,546원/1GB_3,554,940","_16GB_62,999원/1GB_1,007,990|32GB_51,150원/1GB_1,636,790|_64GB_55,546원/1GB_3,554,940","16GB_62,999원/1GB_1,007,990|_32GB_51,150원/1GB_1,725,000|_64GB_55,546원/1GB_3,554,940","16GB_62,999원/1GB_1,007,990|_32GB_56,325원/1GB_1,802,410|_64GB_55,546원/1GB_3,554,940","16GB_62,999원/1GB_1,007,990|_32GB_56,325원/1GB_1,802,410|_64GB_55,546원/1GB_3,554,940","16GB_62,999원/1GB_1,007,990|_32GB_56,325원/1GB_1,802,410|_64GB_55,546원/1GB_3,554,940","16GB_62,999원/1GB_1,007,990|_32GB_57,813원/1GB_1,850,000|_64GB_58,609원/1GB_3,750,970","16GB_62,999원/1GB_1,007,990|_32GB_66,525원/1GB_2,128,800|_64GB_58,609원/1GB_3,750,970","16GB_62,999원/1GB_1,007,990|_32GB_66,525원/1GB_2,128,800|_64GB_58,609원/1GB_3,750,970","16GB_62,999원/1GB_1,007,990|_32GB_66,525원/1GB_2,128,800|_64GB_58,609원/1GB_3,750,970","16GB_62,999원/1GB_1,007,990|_32GB_66,525원/1GB_2,128,800|_64GB_58,609원/1GB_3,750,970","16GB_62,999원/1GB_1,007,990|_32GB_66,525원/1GB_2,128,800|_64GB_58,609원/1GB_3,750,970","16GB_62,999원/1GB_1,007,990|_32GB_66,525원/1GB_2,128,800|_64GB_58,609원/1GB_3,750,970","16GB_62,999원/1GB_1,007,990|_32GB_66,525원/1GB_2,128,800|_64GB_58,609원/1GB_3,750,970",0,"16GB_62,999원/1GB_1,007,990|_32GB_66,525원/1GB_2,128,800|_64GB_58,609원/1GB_3,750,970","_16GB_62,999원/1GB_1,007,990|_32GB_66,525원/1GB_2,128,800|64GB_55,895원/1GB_3,577,300"
105818036,ADATA DDR5-5600 CL46 ECC/REG 파인인포,"_16GB_62,999원/1GB_1,007,990|32GB_52,500원/1GB_1,680,000|_64GB_55,546원/1GB_3,554,940","_16GB_62,999원/1GB_1,007,990|32GB_52,500원/1GB_1,680,000|_64GB_55,546원/1GB_3,554,940","_16GB_62,999원/1GB_1,007,990|_64GB_55,546원/1GB_3,554,940","_16GB_62,999원/1GB_1,007,990|_64GB_55,546원/1GB_3,554,940","_16GB_62,999원/1GB_1,007,990|_64GB_55,546원/1GB_3,554,940","_16GB_62,999원/1GB_1,007,990|32GB_51,150원/1GB_1,636,790|_64GB_55,546원/1GB_3,554,940","16GB_62,999원/1GB_1,007,990|_32GB_51,150원/1GB_1,725,000|_64GB_55,546원/1GB_3,554,940","16GB_62,999원/1GB_1,007,990|_32GB_56,325원/1GB_1,802,410|_64GB_55,546원/1GB_3,554,940","16GB_62,999원/1GB_1,007,990|_32GB_56,325원/1GB_1,802,410|_64GB_55,546원/1GB_3,554,940","16GB_62,999원/1GB_1,007,990|_32GB_56,325원/1GB_1,802,410|_64GB_55,546원/1GB_3,554,940","16GB_62,999원/1GB_1,007,990|_32GB_57,813원/1GB_1,850,000|_64GB_58,609원/1GB_3,750,970","16GB_62,999원/1GB_1,007,990|_32GB_66,525원/1GB_2,128,800|_64GB_58,609원/1GB_3,750,970","16GB_62,999원/1GB_1,007,990|_32GB_66,525원/1GB_2,128,800|_64GB_58,609원/1GB_3,750,970","16GB_62,999원/1GB_1,007,990|_32GB_66,525원/1GB_2,128,800|_64GB_58,609원/1GB_3,750,970","16GB_62,999원/1GB_1,007,990|_32GB_66,525원/1GB_2,128,800|_64GB_58,609원/1GB_3,750,970","16GB_62,999원/1GB_1,007,990|_32GB_66,525원/1GB_2,128,800|_64GB_58,609원/1GB_3,750,970","16GB_62,999원/1GB_1,007,990|_32GB_66,525원/1GB_2,128,800|_64GB_58,609원/1GB_3,750,970","16GB_62,999원/1GB_1,007,990|_32GB_66,525원/1GB_2,128,800|_64GB_58,609원/1GB_3,750,970",0,"16GB_62,999원/1GB_1,007,990|_32GB_66,525원/1GB_2,128,800|_64GB_58,609원/1GB_3,750,970",0
105818027,ADATA DDR5-5600 CL46 ECC/REG 파인인포,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"_16GB_62,999원/1GB_1,007,990|_32GB_66,525원/1GB_2,128,800|64GB_55,895원/1GB_3,577,300"
81036575,ADATA DDR5-5600 CL46 LANCER BLADE 블랙 서린,"_16GB_19,413원/1GB_310,610|_32GB_18,125원/1GB_580,000","_16GB_20,314원/1GB_325,030|_32GB_18,763원/1GB_600,410",0,0,"_16GB_20,313원/1GB_325,010|_32GB_18,763원/1GB_600,400",0,0,0,"_16GB_20,313원/1GB_325,010|_32GB_18,763원/1GB_600,400","_16GB_20,313원/1GB_325,010|_32GB_19,141원/1GB_612,500","_16GB_20,209원/1GB_323,350|_32GB_19,141원/1GB_612,500","_16GB_20,209원/1GB_323,350|_32GB_19,141원/1GB_612,500","_16GB_20,209원/1GB_323,350|_32GB_18,611원/1GB_612,500","_16GB_20,209원/1GB_323,350|_32GB_19,141원/1GB_612,500","_16GB_20,209원/1GB_323,350|_32GB_19,141원/1GB_612,500","_16GB_20,209원/1GB_323,350|_32GB_19,766원/1GB_632,500","_16GB_19,475원/1GB_311,600|_32GB_19,413원/1GB_621,220","_16GB_19,475원/1GB_311,600|_32GB_19,413원/1GB_621,220",0,"_16GB_19,475원/1GB_311,600|_32GB_19,653원/1GB_628,900","_16GB_20,209원/1GB_323,350|_32GB_19,653원/1GB_628,890"
81036614,ADATA DDR5-5600 CL46 LANCER BLADE 블랙 서린,0,0,"_16GB_20,314원/1GB_325,020|_32GB_18,763원/1GB_600,400","_16GB_20,314원/1GB_325,020|_32GB_18,763원/1GB_600,400",0,"_16GB_20,313원/1GB_325,010|_32GB_18,763원/1GB_600,400","_16GB_20,313원/1GB_325,010|_32GB_18,763원/1GB_600,400","_16GB_20,313원/1GB_325,010|_32GB_18,763원/1GB_600,400",0,0,0,0,0,0,0,0,0,0,0,0,0
95202428,ADATA DDR5-5600 CL46 LANCER BLADE 블랙 파인인포,"_32GB_18,124원/1GB_579,980|_16GB_19,478원/1GB_311,650",0,0,0,0,0,0,0,0,0,"_32GB_19,374원/1GB_619,980|_16GB_19,478원/1GB_311,650","_32GB_19,063원/1GB_610,000|_16GB_19,478원/1GB_311,650","_32GB_19,374원/1GB_619,980|_16GB_19,478원/1GB_311,650","_32GB_19,374원/1GB_619,980|_16GB_19,478원/1GB_311,650","_32GB_19,374원/1GB_619,980|_16GB_19,478원/1GB_311,650","_32GB_19,374원/1GB_619,980|_16GB_19,478원/1GB_311,650","_32GB_19,374원/1GB_619,980|_16GB_20,500원/1GB_328,000","_32GB_19,374원/1GB_619,980|_16GB_20,500원/1GB_328,000",0,"_32GB_19,374원/1GB_619,980|_16GB_20,500원/1GB_328,000","_32GB_19,374원/1GB_619,980|_16GB_20,500원/1GB_328,000"
95205869,ADATA DDR5-5600 CL46 LANCER BLADE 블랙 파인인포,0,"_32GB_18,124원/1GB_579,980|_16GB_19,478원/1GB_311,650","_32GB_18,124원/1GB_579,980|_16GB_19,478원/1GB_311,650","_32GB_18,124원/1GB_579,980|_16GB_19,478원/1GB_311,650","_32GB_18,124원/1GB_579,980|_16GB_19,478원/1GB_311,650","_32GB_18,124원/1GB_579,980|_16GB_19,478원/1GB_311,650","_32GB_18,124원/1GB_579,980|_16GB_19,478원/1GB_311,650","_32GB_18,124원/1GB_579,980|_16GB_19,478원/1GB_311,650","_32GB_18,124원/1GB_579,980|_16GB_19,478원/1GB_311,650","_32GB_19,374원/1GB_619,980|_16GB_19,478원/1GB_311,650",0,0,0,0,0,0,0,0,0,0,0
81036653,ADATA DDR5-5600 CL46 LANCER BLADE 화이트 서린,"_16GB_20,438원/1GB_327,000|_32GB_18,125원/1GB_580,000","_16GB_20,438원/1GB_327,000|_32GB_18,817원/1GB_602,140","_16GB_20,438원/1GB_327,000|_32GB_18,816원/1GB_602,120","_16GB_18,591원/1GB_297,450|_32GB_18,816원/1GB_602,110","_16GB_18,591원/1GB_297,450|_32GB_18,815원/1GB_602,070","_16GB_20,438원/1GB_327,000|_32GB_18,814원/1GB_602,050","_16GB_20,438원/1GB_327,000|_32GB_18,508원/1GB_592,260","_16GB_20,438원/1GB_327,000|_32GB_18,797원/1GB_601,510","_16GB_20,438원/1GB_327,000|_32GB_19,061원/1GB_609,950","_16GB_20,438원/1GB_327,000|_32GB_19,060원/1GB_609,930","_16GB_20,438원/1GB_327,000|_32GB_19,060원/1GB_609,910","_16GB_20,438원/1GB_327,000|_32GB_19,059원/1GB_609,890","_16GB_20,438원/1GB_327,000|_32GB_19,058원/1GB_609,870","_16GB_20,438원/1GB_327,000|_32GB_19,058원/1GB_609,850","_16GB_20,438원/1GB_327,000|_32GB_19,057원/1GB_609,830","_16GB_20,438원/1GB_327,000|_32GB_19,062원/1GB_609,990","_16GB_20,438원/1GB_327,000|_32GB_18,750원/1GB_600,000",0,0,0,0
81036776,ADATA DDR5-5600 CL46 LANCER BLADE 화이트 서린,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"_16GB_20,438원/1GB_327,000|_32GB_18,750원/1GB_600,000",0,"_16GB_20,438원/1GB_327,000|_32GB_18,750원/1GB_630,000","_16GB_20,438원/1GB_327,000|_32GB_19,687원/1GB_629,980"
