Id,Name,2023-02-01 10:50:56,2023-02-02 10:41:11,2023-02-03 10:43:11,2023-02-04 10:30:39,2023-02-05 10:45:05,2023-02-06 10:30:32,2023-02-07 10:38:00,2023-02-08 10:41:17,2023-02-09 10:39:48,2023-02-10 10:45:47,2023-02-11 10:29:12,2023-02-12 10:43:36,2023-02-13 10:44:25,2023-02-14 10:43:55,2023-02-15 10:43:57,2023-02-16 10:42:46,2023-02-17 10:45:33,2023-02-18 10:41:04,2023-02-19 10:44:14,2023-02-20 10:43:43,2023-02-21 10:45:41,2023-02-22 10:41:06,2023-02-23 10:39:07,2023-02-24 10:41:32,2023-02-25 10:42:13,2023-02-26 10:49:37,2023-02-27 10:43:15,2023-02-28 10:42:48
15300629,3RSYS TEAMMOST TM-10 RGB,"BLACK_19,500|WHITE_19,400","BLACK_19,500|WHITE_19,400","BLACK_19,500|WHITE_19,500","BLACK_19,500|WHITE_19,500","BLACK_19,500|WHITE_19,500","BLACK_19,500|WHITE_19,500","BLACK_19,500|WHITE_19,500","BLACK_19,500|WHITE_19,500","BLACK_19,500|WHITE_19,500","BLACK_19,500|WHITE_19,500","BLACK_19,500|WHITE_19,500","BLACK_19,500|WHITE_19,500","BLACK_19,500|WHITE_19,500","BLACK_19,500|WHITE_19,500","BLACK_19,500|WHITE_19,500","BLACK_19,500|WHITE_19,500","BLACK_19,500|WHITE_19,500","BLACK_19,500|WHITE_19,500","BLACK_19,500|WHITE_19,500","BLACK_19,500|WHITE_19,500","BLACK_19,500|WHITE_19,500","BLACK_19,500|WHITE_19,500","BLACK_19,500|WHITE_19,500","BLACK_19,500|WHITE_19,500","BLACK_19,500|WHITE_19,500","BLACK_19,500|WHITE_19,500","BLACK_19,500|WHITE_19,500","BLACK_19,500|WHITE_19,500"
15300776,3RSYS TEAMMOST TM-30 RGB,"BLACK_20,770|WHITE_19,900","BLACK_20,770|WHITE_19,900","BLACK_20,770|WHITE_19,900","BLACK_20,770|WHITE_19,900","BLACK_20,770|WHITE_19,900","BLACK_20,770|WHITE_19,900","BLACK_20,770|WHITE_19,900","BLACK_20,770|WHITE_19,900","BLACK_20,770|WHITE_19,900","BLACK_20,770|WHITE_20,600","BLACK_20,770|WHITE_20,500","BLACK_20,770|WHITE_20,500","BLACK_20,770|WHITE_20,500","BLACK_20,770|WHITE_20,400","BLACK_20,770|WHITE_20,400","BLACK_20,770|WHITE_20,400","BLACK_20,770|WHITE_20,400","BLACK_20,770|WHITE_20,400","BLACK_20,770|WHITE_20,390","BLACK_20,770|WHITE_20,400","BLACK_20,770|WHITE_20,400","BLACK_20,770|WHITE_20,400","BLACK_20,770|WHITE_20,400","BLACK_20,770|WHITE_20,500","BLACK_20,770|WHITE_20,500","BLACK_20,770|WHITE_20,500","BLACK_20,770|WHITE_20,500","BLACK_20,770|WHITE_20,400"
15301145,3RSYS TEAMMOST TM-50 RGB,"BLACK_23,440|WHITE_23,440","BLACK_23,440|WHITE_23,440","BLACK_23,440|WHITE_23,440","BLACK_23,440|WHITE_23,440","BLACK_23,440|WHITE_23,440","BLACK_23,440|WHITE_23,440",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15301217,3RSYS TEAMMOST TM-50 RGB,0,0,0,0,0,0,"BLACK_23,440|WHITE_23,440","BLACK_23,440|WHITE_23,440","BLACK_23,440|WHITE_23,440","BLACK_23,440|WHITE_23,440","BLACK_23,440|WHITE_23,440","BLACK_23,440|WHITE_23,440","BLACK_23,440|WHITE_23,440","BLACK_23,400|WHITE_23,440","BLACK_23,400|WHITE_23,440","BLACK_23,400|WHITE_23,440","BLACK_23,400|WHITE_23,440","BLACK_23,400|WHITE_23,440","BLACK_23,400|WHITE_23,440","BLACK_23,400|WHITE_23,440","BLACK_23,400|WHITE_23,440","BLACK_23,400|WHITE_23,440","BLACK_23,400|WHITE_23,440","BLACK_23,400|WHITE_23,440","BLACK_23,400|WHITE_23,440","BLACK_23,400|WHITE_23,440","BLACK_23,400|WHITE_23,440","BLACK_23,400|WHITE_23,440"
16181519,3RSYS TEAMMOST TM40,"22,500","22,500","22,500","22,500","22,500","22,500","22,500","22,500","22,500","22,500","22,500","22,500","22,500","22,500","22,500","22,500","22,500","22,500","22,500","22,500","22,500","22,500","22,500","22,500","22,500","22,500","22,500","22,500"
16181579,3RSYS TEAMMOST TM41 ARGB,"BLACK_28,500|WHITE_31,900","BLACK_28,500|WHITE_31,900","BLACK_28,500|WHITE_31,900","BLACK_28,500|WHITE_31,900","BLACK_28,500|WHITE_31,900","BLACK_28,500|WHITE_31,900",0,0,0,"BLACK_28,500|WHITE_31,900","BLACK_28,500|WHITE_31,900","BLACK_28,500|WHITE_31,900","BLACK_28,500|WHITE_31,900","BLACK_28,500|WHITE_31,900","BLACK_28,500|WHITE_31,900","BLACK_28,500|WHITE_31,900","BLACK_28,500|WHITE_31,900",0,0,0,0,0,0,"BLACK_28,190|WHITE_31,900","BLACK_28,190|WHITE_31,900","BLACK_28,190|WHITE_31,700","BLACK_28,190|WHITE_31,700","BLACK_28,190|WHITE_31,900"
16181612,3RSYS TEAMMOST TM41 ARGB,0,0,0,0,0,0,"BLACK_28,500|WHITE_31,900","BLACK_28,500|WHITE_31,900","BLACK_28,500|WHITE_31,900",0,0,0,0,0,0,0,0,"BLACK_28,210|WHITE_31,900","BLACK_28,210|WHITE_31,900","BLACK_28,220|WHITE_31,900","BLACK_28,190|WHITE_31,900","BLACK_28,190|WHITE_31,900","BLACK_28,190|WHITE_31,900",0,0,0,0,0
16745708,3RSYS TEAMMOST TMF12025,"1PACK_7,600|3PACK_19,800","1PACK_7,600|3PACK_19,800","1PACK_7,700|3PACK_19,800","1PACK_7,700|3PACK_19,800","1PACK_7,700|3PACK_19,800","1PACK_7,700|3PACK_19,800","1PACK_7,700|3PACK_19,800","1PACK_7,300|3PACK_19,800","1PACK_7,270|3PACK_19,800","1PACK_7,270|3PACK_19,800","1PACK_7,270|3PACK_19,800","1PACK_7,270|3PACK_19,800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16745747,3RSYS TEAMMOST TMF12025,0,0,0,0,0,0,0,0,0,0,0,0,"1PACK_7,270|3PACK_19,800","1PACK_7,270|3PACK_19,800","1PACK_7,270|3PACK_19,800","1PACK_7,270|3PACK_19,800","1PACK_7,270|3PACK_19,800","1PACK_7,260|3PACK_19,700","1PACK_7,260|3PACK_19,700","1PACK_7,260|3PACK_19,570","1PACK_7,240|3PACK_19,370","1PACK_7,220|3PACK_19,370","1PACK_7,220|3PACK_19,170","1PACK_7,220|3PACK_19,090","1PACK_7,220|3PACK_19,090",0,"1PACK_7,220|3PACK_19,090","1PACK_7,230|3PACK_19,090"
16745879,3RSYS TEAMMOST TMH12025 ARGB BLACK,"1PACK_8,700|3PACK_23,380","1PACK_8,700|3PACK_23,380","1PACK_8,700|3PACK_23,380","1PACK_8,700|3PACK_23,380","1PACK_8,700|3PACK_23,380","1PACK_8,700|3PACK_23,380","1PACK_8,700|3PACK_23,380","1PACK_8,700|3PACK_23,380","1PACK_8,700|3PACK_23,380","1PACK_8,700|3PACK_23,380","1PACK_8,700|3PACK_23,380","1PACK_8,700|3PACK_23,380","1PACK_8,700|3PACK_23,380","1PACK_8,700|3PACK_23,380","1PACK_8,700|3PACK_23,380","1PACK_8,700|3PACK_23,380","1PACK_8,700|3PACK_23,380","1PACK_8,600|3PACK_23,280","1PACK_8,600|3PACK_23,180","1PACK_8,340|3PACK_23,080",0,0,0,"1PACK_8,300|3PACK_22,970","1PACK_8,300|3PACK_22,970","1PACK_8,300|3PACK_22,970","1PACK_8,300|3PACK_22,970","1PACK_8,300|3PACK_22,970"
16745849,3RSYS TEAMMOST TMH12025 ARGB BLACK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1PACK_8,300|3PACK_22,980","1PACK_8,300|3PACK_22,970","1PACK_8,300|3PACK_22,970",0,0,0,0,0
16745912,3RSYS TEAMMOST TMH12025 ARGB WHITE,"1PACK_8,700|3PACK_23,380","1PACK_8,700|3PACK_23,380","1PACK_8,700|3PACK_23,380",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16745930,3RSYS TEAMMOST TMH12025 ARGB WHITE,0,0,0,"1PACK_8,700|3PACK_23,380","1PACK_8,700|3PACK_23,380","1PACK_8,700|3PACK_23,380","1PACK_8,700|3PACK_23,380","1PACK_8,700|3PACK_23,380","1PACK_8,700|3PACK_23,380",0,"1PACK_8,700|3PACK_23,380","1PACK_8,700|3PACK_23,380","1PACK_8,700|3PACK_23,380","1PACK_8,700|3PACK_23,380","1PACK_8,700|3PACK_23,380","1PACK_8,700|3PACK_23,380","1PACK_8,700|3PACK_23,380","1PACK_8,440|3PACK_23,180","1PACK_8,340|3PACK_23,080","1PACK_8,340|3PACK_22,980","1PACK_8,300|3PACK_22,970","1PACK_8,300|3PACK_22,970","1PACK_8,300|3PACK_22,970","1PACK_8,300|3PACK_22,970","1PACK_8,300|3PACK_22,970","1PACK_8,300|3PACK_22,970","1PACK_8,300|3PACK_22,970","1PACK_8,300|3PACK_22,970"
16924169,3RSYS TF-L7 120 MAIN,"BLACK_5,350|WHITE_5,350","BLACK_5,350|WHITE_5,350","BLACK_5,000|WHITE_5,350","BLACK_5,190|WHITE_5,350","BLACK_5,000|WHITE_5,350","BLACK_5,000|WHITE_5,350","BLACK_5,000|WHITE_5,350","BLACK_5,000|WHITE_5,350","BLACK_5,000|WHITE_5,350","BLACK_5,000|WHITE_5,350","BLACK_5,000|WHITE_5,350","BLACK_5,000|WHITE_5,350","BLACK_5,000|WHITE_5,350","BLACK_5,000|WHITE_5,350","BLACK_5,000|WHITE_5,350","BLACK_5,000|WHITE_5,350","BLACK_5,000|WHITE_5,350","BLACK_5,000|WHITE_5,350","BLACK_5,000|WHITE_5,350","BLACK_5,000|WHITE_5,350","BLACK_5,000|WHITE_5,350","BLACK_5,000|WHITE_5,350","BLACK_5,000|WHITE_5,350","BLACK_5,000|WHITE_5,350","BLACK_5,000|WHITE_5,350","BLACK_5,000|WHITE_5,350","BLACK_5,000|WHITE_5,350","BLACK_5,000|WHITE_5,350"
14980529,3RSYS TF-L7 120 SUB,"BLACK_4,200|WHITE_4,190","BLACK_4,200|WHITE_4,200","BLACK_4,200|WHITE_4,200","BLACK_4,200|WHITE_4,190","BLACK_4,200|WHITE_4,190","BLACK_4,200|WHITE_4,190",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14982281,3RSYS TF-L7 120 SUB,0,0,0,0,0,0,"BLACK_4,200|WHITE_4,190","BLACK_4,200|WHITE_4,190","BLACK_4,200|WHITE_4,190",0,"BLACK_4,200|WHITE_4,200","BLACK_4,200|WHITE_4,200","BLACK_4,200|WHITE_4,200","BLACK_4,200|WHITE_4,200","BLACK_4,200|WHITE_4,200","BLACK_4,200|WHITE_4,200","BLACK_4,200|WHITE_4,190","BLACK_4,200|WHITE_4,190","BLACK_4,200|WHITE_4,190","BLACK_4,200|WHITE_4,190","BLACK_4,200|WHITE_4,190","BLACK_4,200|WHITE_4,190","BLACK_4,200|WHITE_4,190","BLACK_4,200|WHITE_4,190","BLACK_4,200|WHITE_4,190","BLACK_4,200|WHITE_4,190","BLACK_4,200|WHITE_4,190","BLACK_4,200|WHITE_4,200"
16924298,3RSYS TF-L7 120 합본팩,"BLACK_15,480|WHITE_15,480","BLACK_15,520|WHITE_15,480","BLACK_15,520|WHITE_15,480","BLACK_15,520|WHITE_15,480","BLACK_15,520|WHITE_15,480","BLACK_15,520|WHITE_15,480",0,0,0,0,0,0,0,0,0,"BLACK_15,520|WHITE_15,480","BLACK_15,520|WHITE_15,480","BLACK_15,520|WHITE_15,480","BLACK_15,520|WHITE_15,480","BLACK_15,520|WHITE_15,480","BLACK_15,520|WHITE_15,480","BLACK_15,520|WHITE_15,480","BLACK_15,520|WHITE_15,480","BLACK_15,520|WHITE_15,480","BLACK_15,520|WHITE_15,480","BLACK_15,520|WHITE_15,480","BLACK_15,520|WHITE_15,480","BLACK_15,520|WHITE_15,480"
