productId,productName,productPrice
5791864,마이크론 Crucial MX500 대원CTS,"2TB_153원/1GB_306,000 1TB_144원/1GB_143,700 500GB_146원/1GB_72,890 250GB_190원/1GB_47,400 "
5834210,삼성전자 860 EVO,"4TB_196원/1GB_785,240 2TB_190원/1GB_379,800 1TB_189원/1GB_189,100 500GB_179원/1GB_89,700 250GB_227원/1GB_56,800 "
5579649,Western Digital WD Blue 3D SSD,"2TB_146원/1GB_291,600 1TB_150원/1GB_150,000 500GB_148원/1GB_74,000 250GB_189원/1GB_47,300 "
6095784,삼성전자 970 EVO M.2 NVMe,"2TB_450원/1GB_899,990 1TB_222원/1GB_221,700 500GB_222원/1GB_110,900 250GB_412원/1GB_103,000 "
9990933,Seagate 바라쿠다 120 SSD,"2TB_153원/1GB_305,000 1TB_151원/1GB_151,000 500GB_156원/1GB_77,800 250GB_202원/1GB_50,500 "
9966378,삼성전자 PM981a M.2 NVMe 병행수입,"1TB_177원/1GB_176,500 512GB_175원/1GB_89,700 256GB_213원/1GB_54,500 "
6429787,ADATA Ultimate SU655,"480GB_148원/1GB_71,000 240GB_146원/1GB_35,000 120GB_204원/1GB_24,500 "
10120452,Western Digital WD BLUE SN550 M.2 NVMe,"1TB_162원/1GB_161,700 500GB_174원/1GB_86,900 250GB_246원/1GB_61,500 "
5781886,마이크론 Crucial MX500 아스크텍,"2TB_154원/1GB_307,400 1TB_144원/1GB_143,700 500GB_146원/1GB_72,900 250GB_190원/1GB_47,500 "
9991767,Seagate 파이어쿠다 520 M.2 NVMe,"2TB_315원/1GB_630,000 1TB_356원/1GB_355,960 500GB_380원/1GB_190,000 "
6429569,마이크론 Crucial BX500 대원CTS,"2TB_129원/1GB_257,700 1TB_129원/1GB_128,900 960GB_120원/1GB_115,000 480GB_154원/1GB_73,900 240GB_145원/1GB_34,900 120GB_220원/1GB_26,400 "
11293893,Seagate 바라쿠다 Q1 SSD,"960GB_128원/1GB_122,950 480GB_144원/1GB_69,100 "
6476438,ADATA Ultimate SU800,"2TB_165원/1GB_330,000 1TB_151원/1GB_151,000 512GB_162원/1GB_83,000 256GB_182원/1GB_46,500 128GB_273원/1GB_35,000 "
7136755,삼성전자 970 EVO Plus M.2 NVMe,"2TB_287원/1GB_573,120 1TB_284원/1GB_283,720 500GB_284원/1GB_142,000 250GB_352원/1GB_88,000 "
4832566,BIOSTAR S100 Series,"240GB_166원/1GB_39,800 120GB_231원/1GB_27,740 "
11100105,AFOX 8T3BN SE 벌크,"240GB_129원/1GB_31,040 120GB_171원/1GB_20,490 "
7395157,Western Digital WD BLACK SN750 M.2 NVMe,"2TB_270원/1GB_539,800 1TB_249원/1GB_248,900 500GB_225원/1GB_112,700 250GB_291원/1GB_72,700 "
9496815,타무즈 GK300,"1TB_121원/1GB_120,500 512GB_141원/1GB_72,000 480GB_148원/1GB_71,000 256GB_146원/1GB_37,500 240GB_135원/1GB_32,500 128GB_216원/1GB_27,700 120GB_179원/1GB_21,500 "
9245688,ADATA XPG SPECTRIX S40G M.2 NVMe,"1TB_204원/1GB_203,760 512GB_221원/1GB_113,000 256GB_281원/1GB_72,000 "
9701373,타무즈 GKM330 M.2 SATA,"1TB_129원/1GB_129,000 512GB_153원/1GB_78,500 256GB_183원/1GB_46,800 128GB_227원/1GB_29,000 "
6538923,마이크론 Crucial P1 M.2 NVMe 대원CTS,"1TB_144원/1GB_144,000 500GB_173원/1GB_86,300 "
6509132,Toshiba TR200,"480GB_198원/1GB_95,000 240GB_166원/1GB_39,770 "
9933246,타무즈 GK500,"1TB_256원/1GB_255,760 512GB_162원/1GB_83,000 256GB_205원/1GB_52,500 128GB_447원/1GB_57,160 "
4593708,Western Digital WD GREEN SSD,"1TB_155원/1GB_155,000 480GB_146원/1GB_70,000 240GB_145원/1GB_34,700 120GB_246원/1GB_29,500 "
6096738,삼성전자 970 PRO M.2 NVMe,"1TB_384원/1GB_384,250 512GB_389원/1GB_199,090 "
10528728,삼성전자 PM981a M.2 NVMe 벌크,"1TB_187원/1GB_187,200 512GB_176원/1GB_90,000 256GB_191원/1GB_49,000 "
6754534,삼성전자 860 QVO,"4TB_146원/1GB_583,900 2TB_143원/1GB_286,000 1TB_139원/1GB_139,000 "
