productId,productName,productPrice
11578097,MSI MAG B550M 박격포,"186,000"
11571440,ASUS TUF Gaming B550M-PLUS (Wi-Fi) STCOM,"216,200"
11223516,MSI MAG Z490 토마호크,"239,300"
11580755,ASRock B550M 스틸레전드 에즈윈,"185,000"
11572808,ASRock B550 Taichi 에즈윈,가격비교예정
11233074,BIOSTAR RACING Z490GTA EVO,"241,400"
11407683,ASRock H410M-HDV 에즈윈,"78,700"
6706111,BIOSTAR B450MH 이엠텍,"72,300"
6632107,ASUS PRIME H310M-A R2.0 인텍앤컴퍼니,"72,500"
11413119,ASUS TUF Gaming B460M-PLUS (WI-FI) STCOM,"155,200"
6721984,ASUS PRIME H310M-A R2.0 코잇,"73,000"
8515863,GIGABYTE X570 I AORUS PRO WIFI 제이씨현,"319,700"
5760122,GIGABYTE GA-A320M-S2H 듀러블에디션 제이씨현,"65,800"
5997948,GIGABYTE GA-A320M-S2H 듀러블에디션 피씨디렉트,"66,000"
10526130,ASUS TUF B450M-PLUS GAMING 대원CTS,"106,500"
4813534,GIGABYTE GA-B250M-DS3H 듀러블에디션 피씨디렉트,"85,000"
11408766,ASUS PRIME H410M-E 인텍앤컴퍼니,"88,600"
11223615,MSI MPG Z490 게이밍 카본 WIFI,"324,400"
11405250,BIOSTAR H410MH,"72,500"
11242554,ASUS ROG MAXIMUS XII APEX 코잇,"535,100"
6430163,GIGABYTE B450 I AORUS PRO WiFi 제이씨현,"157,000"
11396190,GIGABYTE H410M H 듀러블에디션 제이씨현,"81,600"
10034763,GIGABYTE TRX40 AORUS MASTER 제이씨현,"659,360"
8520477,MSI MPG X570 게이밍 프로 카본 WIFI,"264,500"
11408364,ASUS PRIME H410M-K 인텍앤컴퍼니,"87,700"
3603620,ASUS H110M-K 아이보라,"73,900"
8542220,ASUS PRIME X570-PRO/CSM 대원CTS,"308,800"
11399676,ASRock B460 Phantom Gaming 4 디앤디컴,"116,700"
7138990,BIOSTAR B45M2 이엠텍,"64,900"
5242396,GIGABYTE GA-H110-D3A BTC 듀러블에디션 제이씨현,"49,500"
11597969,ASUS i9-10900K + MAXIMUS + RTX 2080 Ti OC 11GB (챌린저패키지),"2,831,000"
10034781,GIGABYTE TRX40 AORUS PRO WIFI 제이씨현,"522,910"
6891775,ASRock H310CM-HDV Plus 에즈윈,"77,000"
11223567,MSI MEG Z490 에이스,"461,700"
9660786,ASUS PRIME X299-A II 아이보라,"447,800"
6343717,ASUS PRIME B450-PLUS 아이보라,"128,900"
10019427,GIGABYTE X299X AORUS MASTER 피씨디렉트,"543,900"
7424026,ASRock H310CM-HDV 디앤디컴 (벌크),"66,400"
11574560,GIGABYTE B550 AORUS MASTER 피씨디렉트,"411,000"
5122402,ASUS PRIME A320M-K 아이보라,"64,000"
11406948,MSI H410M-A PRO,"83,000"
