---,CPU
2021-07-01 10:02:02
productId,productName,productPrice
13537859,인텔 코어i7-10세대 10700KF (코멧레이크S),"정품_337,940 병행수입박스_367,070 벌크+쿨러_343,380 벌크_340,440 해외구매_408,850 중고_345,000 "
13193342,인텔 코어i9-10세대 10900F (코멧레이크S),"정품_462,930 병행수입박스_472,760 벌크+쿨러_446,880 벌크_443,880 해외구매_523,450 "
12787487,인텔 코어i7-10세대 10700F (코멧레이크S),"정품_314,350 병행수입박스_314,410 벌크+쿨러_323,420 벌크_321,520 해외구매_360,490 "
12336623,인텔 코어i5-10세대 10400F (코멧레이크S),"정품_167,320 병행수입박스_179,400 벌크+쿨러_170,940 벌크_164,950 해외구매_227,000 중고_336,480 "
12335948,인텔 셀러론 G5920 (코멧레이크S),"해외구매_84,470 "
11773189,인텔 코어i3-10세대 10320 (코멧레이크S),"벌크+쿨러_일시품절 벌크_일시품절 해외구매_291,500 "
11772994,인텔 코어i3-10세대 10300 (코멧레이크S),"정품_220,240 벌크_400,000 해외구매_324,360 "
14004251,인텔 코어i5-10세대 10600K (코멧레이크S),"정품_289,790 병행수입박스_일시품절 벌크+쿨러_299,850 벌크_309,950 해외구매_294,620 중고_270,000 "
13871081,인텔 코어i9-10세대 10900K (코멧레이크S),"정품_535,450 병행수입박스_565,440 벌크+쿨러_553,820 벌크_550,820 해외구매_655,010 "
13537793,인텔 코어i5-10세대 10500 (코멧레이크S),"정품_338,690 병행수입박스_778,620 벌크+쿨러_211,390 벌크_207,120 해외구매_318,000 중고_280,000 "
13192703,인텔 코어i9-10세대 10900 (코멧레이크S),"정품_460,670 병행수입박스_504,070 벌크+쿨러_467,220 벌크_474,420 해외구매_508,890 중고_일시품절 "
12660791,인텔 코어i7-10세대 10700K (코멧레이크S),"정품_359,410 병행수입박스_409,510 벌크+쿨러_363,440 벌크_362,410 해외구매_443,120 "
12625094,AMD 라이젠3-3세대 3300X (마티스),"정품_158,000 멀티팩_129,130 해외구매_177,660 "
12337217,인텔 코어i7-10세대 10700 (코멧레이크S),"정품_389,890 병행수입박스_424,540 벌크+쿨러_344,020 벌크_332,300 해외구매_376,110 "
12336782,인텔 코어i5-10세대 10600 (코멧레이크S),"정품_348,320 벌크+쿨러_일시품절 벌크_329,000 해외구매_376,000 "
12336347,인텔 코어i5-10세대 10400 (코멧레이크S),"정품_204,250 병행수입박스_218,160 벌크+쿨러_193,440 벌크_194,880 해외구매_203,300 "
12336056,인텔 코어i3-10세대 10100 (코멧레이크S),"정품_215,580 벌크+쿨러_135,520 벌크_132,020 해외구매_182,540 "
12335777,인텔 셀러론 G5900 (코멧레이크S),"벌크+쿨러_124,200 벌크_100,000 해외구매_88,900 "
12335654,인텔 펜티엄 골드 G6400 (코멧레이크S),"정품_90,000 병행수입박스_일시품절 벌크+쿨러_81,300 벌크_76,000 해외구매_114,750 "
12200864,AMD 라이젠3-3세대 3100 (마티스),"정품_199,300 해외구매_207,170 "
11134854,인텔 코어i5-9세대 9400 (커피레이크-R),"정품_199,330 병행수입박스_204,180 벌크+쿨러_198,100 벌크_195,260 해외구매_325,210 "
10518636,AMD 라이젠 스레드리퍼 3990X (캐슬 픽),"정품_5,180,010 "
13540112,인텔 코어X-시리즈 i9-10980XE Extreme Edition (캐스케이드레이크),"정품_1,260,000 벌크_1,190,430 "
12749036,인텔 코어X-시리즈 i9-10940X (캐스케이드레이크),"정품_902,690 벌크_887,580 해외구매_1,310,200 "
12748961,인텔 코어X-시리즈 i9-10920X (캐스케이드레이크),"정품_825,000 벌크_791,270 해외구매_996,000 "
12748922,인텔 코어X-시리즈 i9-10900X (캐스케이드레이크),"정품_685,430 병행수입박스_702,850 벌크_662,540 해외구매_1,005,900 "
14079716,AMD 라이젠 스레드리퍼 3970X (캐슬 픽),"정품_3,500,000 해외구매_2,759,860 "
12340073,AMD 라이젠5-3세대 3500 (마티스),"멀티팩_132,730 해외구매_281,050 "
11035356,AMD 라이젠 스레드리퍼 3960X (캐슬 픽),"정품_1,980,810 해외구매_1,927,100 "
11026701,AMD 라이젠9-3세대 3950X (마티스),"정품_1,048,800 해외구매_882,130 "
11025336,AMD 애슬론 3000G (레이븐 릿지),"정품_75,000 해외구매_110,490 "
9736854,AMD EPYC 7232P (롬),"정품_1,672,950 "
9736833,AMD EPYC 7262 (롬),"정품_2,130,330 "
9736752,AMD EPYC 7302 (롬),"정품_3,641,700 "
9736716,AMD EPYC 7352 (롬),"정품_2,450,000 "
9736680,AMD EPYC 7452 (롬),"정품_7,360,450 "
9736638,AMD EPYC 7542 (롬),"정품_6,250,000 "
9736602,AMD EPYC 7642 (롬),"정품_8,720,000 "
9736071,AMD EPYC 7742 (롬),"정품_14,080,000 "
7271425,인텔 제온 E 2124G (커피레이크),"정품_632,800 "
12744083,AMD 라이젠5-3세대 3500X (마티스),"멀티팩_152,940 벌크_168,990 해외구매_214,530 "
12111233,인텔 제온 E 2224 (커피레이크-R),"정품_264,770 벌크+쿨러_280,000 벌크_일시품절 "
11084403,인텔 코어i3-9세대 9100 (커피레이크-R),"정품_183,750 벌크+쿨러_143,100 벌크_140,030 해외구매_230,050 "
9794256,인텔 코어i9-9세대 9900KS (커피레이크-R),"정품_1,555,450 "
9736800,AMD EPYC 7272 (롬),"정품_1,210,000 "
12625265,AMD 라이젠5-4세대 5600X (버미어),"정품_334,630 멀티팩_311,010 벌크_321,300 해외구매_559,220 "
12836186,AMD 라이젠7-4세대 5800X (버미어),"정품_459,000 멀티팩_445,670 벌크_448,990 해외구매_510,410 "
13619846,인텔 코어i5-11세대 11400 (로켓레이크S),"정품_248,840 병행수입박스_일시품절 벌크+쿨러_238,420 벌크_241,780 해외구매_281,900 "
10861092,AMD 라이젠5-3세대 3600 (마티스),"정품_252,950 멀티팩_194,140 벌크_193,590 해외구매_215,000 중고_200,000 "
13619990,인텔 코어i7-11세대 11700K (로켓레이크S),"정품_411,610 벌크+쿨러_427,500 벌크_418,580 해외구매_547,490 "
11489973,인텔 코어i5-10세대 10400F (코멧레이크S),"정품_167,320 병행수입박스_179,400 벌크+쿨러_170,940 벌크_164,950 해외구매_227,000 중고_336,480 "
12622091,AMD 라이젠9-4세대 5900X (버미어),"정품_647,000 멀티팩_641,520 해외구매_965,800 "
13619981,인텔 코어i7-11세대 11700 (로켓레이크S),"정품_409,640 병행수입박스_451,880 벌크+쿨러_399,460 벌크_395,820 해외구매_465,170 "
11876290,AMD 라이젠3 PRO 4350G (르누아르),"멀티팩_199,000 "
11308485,인텔 코어i7-10세대 10700K (코멧레이크S),"정품_359,410 병행수입박스_409,510 벌크+쿨러_363,440 벌크_362,410 해외구매_443,120 "
11646593,인텔 코어i7-10세대 10700F (코멧레이크S),"정품_314,350 병행수입박스_314,410 벌크+쿨러_323,420 벌크_321,520 해외구매_360,490 "
12622319,AMD 라이젠9-4세대 5950X (버미어),"정품_947,530 해외구매_1,327,850 "
11876443,AMD 라이젠5 PRO 4650G (르누아르),"멀티팩_263,770 "
11405337,인텔 코어i3-10세대 10100 (코멧레이크S),"정품_215,580 벌크+쿨러_135,520 벌크_132,020 해외구매_182,540 "
13619897,인텔 코어i5-11세대 11500 (로켓레이크S),"정품_242,860 벌크+쿨러_245,330 벌크_242,890 해외구매_413,770 "
13620026,인텔 코어i9-11세대 11900K (로켓레이크S),"정품_657,840 병행수입박스_681,090 벌크+쿨러_669,460 벌크_666,330 "
9968202,AMD 애슬론 3000G (레이븐 릿지),"정품_75,000 해외구매_110,490 "
11308551,인텔 코어i5-10세대 10400 (코멧레이크S),"정품_204,250 병행수입박스_218,160 벌크+쿨러_193,440 벌크_194,880 해외구매_203,300 "
10002339,AMD 라이젠5-3세대 3500 (마티스),"멀티팩_132,730 해외구매_281,050 "
12625094,AMD 라이젠3-3세대 3300X (마티스),"정품_158,000 멀티팩_129,130 해외구매_177,660 "
9421629,AMD 라이젠7-3세대 3700X (마티스),"정품_317,900 멀티팩_295,000 해외구매_338,710 "
8460291,AMD 라이젠3-2세대 3200G (피카소),"정품_145,000 멀티팩_148,800 해외구매_163,990 "
13753334,인텔 코어i3-10세대 10105F (코멧레이크S 리프레시),"정품_91,320 병행수입박스_122,800 벌크+쿨러_92,500 벌크_89,410 해외구매_203,140 "
11876521,AMD 라이젠7 PRO 4750G (르누아르),"멀티팩_398,000 "
13753394,인텔 코어i5-11세대 11400F (로켓레이크S),"정품_243,360 병행수입박스_일시품절 벌크+쿨러_217,380 벌크_211,520 해외구매_258,590 "
13619939,인텔 코어i5-11세대 11600K (로켓레이크S),"정품_286,870 벌크+쿨러_304,500 벌크_299,260 해외구매_348,240 "
