Id,Name,2020-07-06 17:09:03,2020-07-06 17:25:29,2020-07-06 19:41:02,2020-07-07 09:19:23,2020-07-07 10:58:29,2020-07-07 11:48:31,2020-07-07 12:20:58,2020-07-08 08:51:06,2020-07-08 11:19:27,2020-07-08 12:09:38,2020-07-09 08:57:08,2020-07-10 09:03:10,2020-07-11 08:49:24,2020-07-11 09:17:15,2020-07-11 09:48:45,2020-07-11 10:20:03,2020-07-11 10:36:07,2020-07-11 12:18:09,2020-07-11 21:56:02,2020-07-12 09:36:12,2020-07-13 09:35:56,2020-07-14 09:35:18,2020-07-15 09:35:40,2020-07-16 09:35:30,2020-07-17 09:35:49,2020-07-18 09:35:43,2020-07-19 09:37:46,2020-07-20 09:36:56,2020-07-21 09:36:25,2020-07-22 09:36:14,2020-07-23 09:36:36,2020-07-24 09:37:12,2020-07-25 09:37:31,2020-07-26 09:38:43,2020-07-27 09:38:11,2020-07-28 09:37:45,2020-07-29 09:36:47,2020-07-30 09:38:05,2020-07-31 09:39:00,2020-08-01 09:39:33,2020-08-02 09:40:19,2020-08-03 09:39:36,2020-08-04 09:39:44,2020-08-05 09:39:47,2020-08-06 09:39:43,2020-08-07 09:40:52,2020-08-08 09:40:22,2020-08-09 09:42:07,2020-08-10 09:41:41,2020-08-11 09:41:13,2020-08-12 09:40:57,2020-08-13 09:41:08,2020-08-14 09:41:32,2020-08-15 09:41:25,2020-08-16 09:43:23,2020-08-17 09:42:49,2020-08-18 09:42:04,2020-08-19 09:42:34,2020-08-20 09:42:27,2020-08-21 09:43:09,2020-08-22 09:43:27,2020-08-23 09:44:59,2020-08-24 09:44:10,2020-08-25 09:44:01,2020-08-26 09:43:43,2020-08-27 09:44:18,2020-08-28 09:48:30,2020-08-29 09:29:10,2020-08-30 09:32:44,2020-08-31 09:24:50,2020-09-01 09:49:03,2020-09-02 09:44:23,2020-09-03 09:47:42,2020-09-04 09:48:32,2020-09-05 10:24:06
10363848,ACPI DDR3-1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8GB_4,375원/1GB_35,000 "
6074591,ACPI 노트북 DDR3-1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4GB_---_일시품절 2GB_---_25,600 "
11868160,ADATA DDR4 16G PC4-25600 CL22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"71,090","71,080","70,980","70,900","70,890","70,870","70,770","70,760","70,650","71,090","74,250","74,250","74,220","74,130","74,040","74,020","73,920","73,830","73,820","73,780","73,770","73,710","74,250","75,720","75,680","75,630","75,590",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"32GB_5,114원/1GB_163,640 16GB_4,710원/1GB_75,360 8GB_4,250원/1GB_34,000 "
5541070,ADATA DDR4 8G PC4-21300 CL19,"37,440","37,440","37,440","37,440","37,440","37,440","37,440","37,440","37,440","37,440","37,440","37,440","37,440",0,0,0,0,"37,440","37,440","37,440","37,440","37,440","37,440","37,440","37,440","32,240","32,240","32,240","32,240","32,240","32,240","32,240","32,240","32,240","32,240","32,240","32,240","32,240","31,200","31,200","31,200","31,200","31,200","31,200","31,200","31,200","31,200","31,200","31,200","31,200","31,200","31,200","31,200","31,200","31,200","31,200","31,200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"16GB_---_일시품절 8GB_3,919원/1GB_31,350 "
11830747,ADATA DDR4 8G PC4-25600 CL22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"36,400","36,400","36,400","36,550","36,550","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","34,840","34,840","34,840","34,840","34,840","34,840","34,840","34,840","34,840","34,840","34,840","34,840","34,840","34,840","34,840","34,840","34,840","34,840","34,840",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"32GB_5,114원/1GB_163,640 16GB_4,710원/1GB_75,360 8GB_4,250원/1GB_34,000 "
5542488,ADATA XPG DDR4 16G PC4-19200 CL16 GAMMIX D10 레드 (8Gx2),"221,830","221,830","221,830","221,830","221,830","221,830","221,830","221,830","221,830","221,830","221,830","221,830","221,830",0,0,0,0,"221,830","221,830","221,830","221,830","221,830","221,830","221,830","221,830","221,830","221,830","221,830","221,830","221,830","219,480","219,470","219,470","219,470","219,470","219,470","219,470","219,470","219,470","219,470","219,480","219,480","219,470","219,470","219,470","219,470","219,470","219,470","219,470","219,470","219,470","219,480","219,480","219,470","219,470","219,470","219,470",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"16GB(8Gx2)_13,850원/1GB_221,600 "
5542423,ADATA XPG DDR4 16G PC4-19200 CL16 GAMMIX D10 블랙 (8Gx2),"226,000","226,000","226,000","226,000","226,000","226,000","226,000","226,000","226,000","226,000","226,000","226,000","226,000",0,0,0,0,"226,000","226,000","226,000","226,000","226,000","226,000","226,000","226,000","226,000","226,000","226,000","226,000","226,000","226,000","226,000","226,000","226,000","226,000","226,000","226,000","226,000","226,000","226,000","226,000","226,000","226,000","226,000","226,000","226,000","226,000","226,000","226,000","226,000","226,000","226,000","226,000","226,000","226,000","226,000","226,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"16GB(8Gx2)_14,125원/1GB_226,000 "
5541461,ADATA XPG DDR4 16G PC4-19200 CL16 SPECTRIX D40 (8Gx2),"243,430","243,430","243,430","243,430","243,430","243,430","243,430","243,430","243,430","243,430","243,430","243,430","243,430",0,0,0,0,"243,430","243,430","243,430","243,430","243,430","243,430","243,430","243,430","243,430","243,430","243,430","243,430","243,430","243,430","243,430","243,430","243,430","243,430","243,430","243,430","243,430","243,430","243,430","243,430","243,430","243,430","243,430","243,430","243,430","243,430","243,430","243,430","243,430","243,430","243,430","243,430","243,430","243,430","243,430","243,430",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"32GB(8Gx4)_18,197원/1GB_582,300 16GB(8Gx2)_14,813원/1GB_237,000 "
5542503,ADATA XPG DDR4 16G PC4-21300 CL16 GAMMIX D10 레드 (8Gx2),"230,300","230,300","230,300","230,300","230,300","230,300","230,300","230,300","230,300","230,300","230,300","230,300","230,300",0,0,0,0,"230,300","230,300","230,300","230,300","230,300","230,300","230,300","230,300","230,300","230,300","230,300","230,300","230,300","227,850","227,850","227,850","227,850","227,850","227,850","227,850","227,850","227,850","227,850","227,850","227,850","227,850","227,850","227,850","227,850","227,850","227,850","227,850","206,800","206,800","206,800","206,800","206,800","206,800","206,800","206,800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5542449,ADATA XPG DDR4 16G PC4-21300 CL16 GAMMIX D10 블랙 (8Gx2),"247,190","247,190","247,190","247,190","247,190","247,190","247,190","247,190","247,190","247,190","247,190","247,190","247,190",0,0,0,0,"247,190","247,190","247,190","247,190","247,190","247,190","247,190","247,190","247,190","247,190","247,190","247,190","247,190","247,190","247,190","247,190","247,190","247,190",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5541525,ADATA XPG DDR4 16G PC4-21300 CL16 SPECTRIX D40 (8Gx2),"290,000","290,000","290,000","290,000","290,000","290,000","290,000","290,000","290,000","290,000","290,000","290,000","290,000",0,0,0,0,"290,000","290,000","290,000","290,000","290,000","290,000","290,000","290,000","290,000","290,000","290,000","290,000","290,000","290,000","290,000","290,000","290,000","290,000","290,000","290,000","290,000","290,000","290,000","290,000","290,000","290,000","290,000","290,000","290,000","290,000","290,000","290,000","290,000","290,000","290,000","290,000","290,000","290,000","290,000","290,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6119667,ADATA XPG DDR4 16G PC4-21300 CL16 SPECTRIX D41 크림슨 레드 (8Gx2),"88,000","88,000","88,000","88,000","88,000","88,000","88,000","88,000","88,000","88,000","86,000","86,000","86,000",0,0,0,0,"86,000","86,000","86,000","86,000","86,000","86,000","86,000","86,000","86,000","86,000","86,000","86,000","86,000","86,000","79,900","79,900","79,900","79,900","79,900","79,900","79,900","79,900","79,900","79,900","79,900","79,900","79,900","79,900","79,900","79,900","79,900","79,900","86,000","86,000","86,000","86,000","86,000","86,000","86,000","86,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"16GB(8Gx2)_5,375원/1GB_86,000 "
6119603,ADATA XPG DDR4 16G PC4-21300 CL16 SPECTRIX D41 티타늄 그레이 (8Gx2),"232,180","232,180","232,180","232,180","232,180","232,180","232,180","232,180","232,180","232,180","232,180","205,010","205,010",0,0,0,0,"205,010","205,010","205,010","205,010","205,010","205,010","205,010","205,010","205,010","205,010","205,010","205,010","205,010","205,010","205,010","205,010","205,010","205,010","205,010","205,010","205,010","205,010","205,010","205,010","205,010","205,010","205,010","205,010","205,010","205,010","205,010","229,710","229,710","229,710","229,710","229,710","229,710","229,710","229,710","229,710",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"16GB(8Gx2)_14,496원/1GB_231,940 "
