Id,Name,2020-07-06 17:23:26,2020-07-06 19:38:59,2020-07-07 09:17:21,2020-07-07 10:56:27,2020-07-07 11:46:29,2020-07-07 12:18:56,2020-07-08 08:49:04,2020-07-08 11:17:01,2020-07-08 12:07:14,2020-07-09 08:54:44,2020-07-10 09:00:47,2020-07-11 08:47:00,2020-07-11 09:16:35,2020-07-11 09:48:06,2020-07-11 10:19:04,2020-07-11 10:35:30,2020-07-11 12:15:41,2020-07-11 21:53:35,2020-07-12 09:33:46,2020-07-13 09:33:29,2020-07-14 09:32:52,2020-07-15 09:33:10,2020-07-16 09:33:02,2020-07-17 09:33:20,2020-07-18 09:33:10,2020-07-19 09:35:18,2020-07-20 09:34:28,2020-07-21 09:33:58,2020-07-22 09:33:47,2020-07-23 09:34:06,2020-07-24 09:34:44,2020-07-25 09:35:04,2020-07-26 09:36:14,2020-07-27 09:35:42,2020-07-28 09:35:16,2020-07-29 09:34:19,2020-07-30 09:35:38,2020-07-31 09:36:33
10223283,이엠텍 HV 지포스 RTX 2080 SUPER BLACK MONSTER V2 D6 8GB,"855,500","855,500","855,400","855,400","855,300","855,300","855,200","855,200","855,200","855,200","855,100","855,100",0,0,0,0,"855,100","855,100","855,000","854,900","854,800","854,600","854,500","854,400","851,800","851,800","851,600","851,600","851,600","851,600","851,600","851,600","851,600","851,600","851,600","851,600","904,990","905,000"
10223292,이엠텍 HV 지포스 RTX 2080 SUPER BLACK MONSTER V2 OC D6 8GB,"881,100","881,100","881,000","881,000","880,900","880,900","880,800","880,700","880,700","880,700","880,700","880,290",0,0,0,0,"875,240","875,240","875,200","875,100","873,610","874,600","874,500","874,500","873,500","873,500","873,300","863,870","873,200","873,200","873,100","873,000","873,000","873,000","873,000","872,900","872,900","853,860"
6440136,이엠텍 XENON 지포스 GT1030 D4 2GB,"103,370","103,370","103,370","103,370","103,370","103,370","103,370","103,370","103,370","103,370","103,370","103,170",0,0,0,0,"103,170","103,170","103,170","103,170","103,170","103,170","103,170","103,360","103,360","103,360","103,360","103,360","103,360","103,360","198,980","198,980","198,980","198,980","198,980","198,980","198,980","198,980"
10060998,이엠텍 XENON 지포스 GT1030 D5 2GB LP,"91,890","91,890","91,890","91,890","91,890","91,890","91,890","91,890","91,890","91,890","91,460","91,230",0,0,0,0,"90,820","90,820","90,810","90,190","89,780","91,900","91,040","90,770","90,670","90,610","90,490","90,370","90,260","90,170","90,880","90,820","90,770","90,750","90,660","90,630","90,480","91,900"
10061043,이엠텍 XENON 지포스 GT710 D5 1GB,"67,890","68,090","68,090","68,090","68,090","68,090","68,090","68,090","68,090","68,090","68,090","68,090",0,0,0,0,"68,090","68,090","68,090","68,090","68,090","68,090","45,980","45,520","45,500","45,420","45,410","45,320","65,370","68,090","68,090","68,090","68,090","68,090","68,090","68,090","68,090","68,090"
2665319,이엠텍 XENON 지포스 GT730 D3 2GB LP,"72,520","72,460","72,250","72,240","72,240","72,240","72,040","72,040","72,040","72,040","71,890","71,540",0,0,0,0,"71,260","71,200","71,120","70,700","70,280","73,500","73,500","72,730","72,050","71,920","71,810","71,230","71,120","71,010","70,950","70,840","70,720","70,610","70,510","70,380","70,270","73,500"
8437347,이엠텍 XENON 지포스 GTX 1650 STORM X Dual MINI OC D5 4GB,"376,570","376,570","376,570","376,570","376,570","376,570","376,570","376,570","376,570","376,570","376,570","376,570",0,0,0,0,"376,570","376,570","376,570","376,570","376,570","376,570","376,570","376,570","376,570","376,570","376,570","376,570","376,570","376,570","376,570","376,570","376,570","376,570","376,570","376,570","376,570","376,570"
9235377,이엠텍 XENON 지포스 GTX 1660 STORM X Dual D5 6GB WHITE,"307,390","307,390","307,390","307,390","307,390","307,390","307,390","307,390","307,390","307,390","307,380","307,380",0,0,0,0,"307,380","307,380","307,380","307,380","307,380","307,380","307,380","307,380","264,700","264,700","264,700","264,700","264,700","246,900","246,900","246,900","246,900","246,900","246,310","246,900","246,900","246,900"
7636393,이엠텍 XENON 지포스 GTX 1660 STORM X Dual OC D5 6GB WHITE,"245,200","245,200","245,100","245,100","245,100","245,100","245,000","245,000","245,000","245,000","245,000","245,000",0,0,0,0,"245,000","245,000","245,000","245,000","245,000","245,000","245,000","245,000","245,000","245,000","245,000","245,000","245,000","245,000","245,000","245,000","245,000","245,000","245,000","244,900","244,800","244,800"
9235185,이엠텍 XENON 지포스 GTX 1660 Ti STORM X Dual D6 6GB WHITE,"331,100","331,100","331,100","331,100","331,100","331,100","331,100","331,100","331,100","331,100","331,100","331,100",0,0,0,0,"331,100","331,100","331,100","331,100","331,100","331,100","331,100","331,100","331,100","331,100","331,100","331,100","331,100","331,100","331,100","331,100","331,100","331,100","331,100","331,100","331,100","331,100"
7912525,이엠텍 XENON 지포스 GTX 1660 Ti STORM X Dual OC D6 6GB WHITE,"335,000","335,000","335,000","335,000","335,000","335,000","335,000","335,000","335,000","335,000","335,000","335,000",0,0,0,0,"335,000","335,000","335,000","335,000","335,000","335,000","335,000","335,000","335,000","335,000","335,000","335,000","335,000","335,000","335,000","335,000","335,000","335,000","335,000","335,000","335,000","335,000"
7552219,이엠텍 XENON 지포스 GTX 1660 Ti STORM X Dual OC D6 6GB WHITE 리니지 리마스터,"374,220","374,220","415,790","415,790","415,790","415,790","374,220","374,220","374,220","374,220","374,220","374,220",0,0,0,0,"374,220","374,220","374,220","374,220","374,220","374,220","374,220","374,220","374,220","370,070","370,070","370,070","374,220","374,220","374,220","374,220","370,070","370,070","370,070","370,070","370,070","374,220"
4585724,이엠텍 XENON 지포스 GTX1050 Ti STORM X Dual OC D5 4GB,"323,850","323,850","323,850","323,850","323,850","323,850","323,850","323,850","323,850","323,850","323,850","323,850",0,0,0,0,"323,850","323,850","323,850","323,850","323,850","323,850","323,850","323,850","323,850","323,850","323,850","323,850","323,850","323,850","323,850","323,850","323,850","323,850","323,850","323,850","323,850","323,850"
4610900,이엠텍 XENON 지포스 GTX1050 Ti STORM X Nano D5 4GB,"154,700","154,700","154,600","154,600","154,600","154,600","154,600","154,600","154,600","154,600","154,600","154,600",0,0,0,0,"154,600","154,600","154,600","154,600","154,590","154,500","154,500","154,500","154,500","154,500",0,"154,500","154,500","154,500","154,500","154,500","154,500","154,500","154,500","154,500","154,500","154,500"
4218595,이엠텍 XENON 지포스 GTX1070 JETSTREAM D5 8GB,"810,000","810,000","810,000","810,000","810,000","810,000","810,000","810,000","810,000","810,000","810,000","810,000",0,0,0,0,"810,000","810,000","810,000","810,000","810,000","810,000","810,000","810,000","810,000","801,000","801,000","801,000","810,000","810,000","810,000","810,000","801,000","801,000","801,000","801,000","801,000","810,000"
4157969,이엠텍 XENON 지포스 GTX1070 Super JETSTREAM D5 8GB,"900,000","900,000","900,000","900,000","900,000","900,000","900,000","900,000","900,000","900,000","900,000","900,000",0,0,0,0,"900,000","900,000","900,000","900,000","900,000","900,000","900,000","900,000","900,000","890,000","890,000","890,000","900,000","900,000","900,000","900,000","890,000","890,000","890,000","890,000","890,000","900,000"
2071918,이엠텍 XENON 지포스 GTX770 JETSTREAM D5 4GB,"506,000","506,000","506,000","506,000","506,000","506,000","506,000","506,000","506,000","506,000","506,000","506,000",0,0,0,0,"506,000","506,000","506,000","506,000","506,000","506,000","506,000","506,000","506,000","506,000","506,000","506,000","506,000","506,000","506,000","506,000","506,000","506,000","506,000","506,000","506,000","506,000"
2197802,이엠텍 XENON 지포스 GTX780 Super JETSTREAM D5 3GB,"500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000",0,0,0,0,"500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000"
7588126,이엠텍 XENON 지포스 RTX 2060 STORM X Dual D6 6GB WHITE,"522,890","522,890","522,890","522,890","522,890","522,890","522,890","522,890","522,890","522,890","522,890","522,890",0,0,0,0,"522,890","522,890","522,890","522,890","522,890","522,890","522,890","522,890","522,890","522,890","522,890","522,890","522,890","522,890","522,890","522,890","522,890","522,890","522,890","522,890","522,890","522,890"
7588120,이엠텍 XENON 지포스 RTX 2060 STORM X Dual OC D6 6GB WHITE,"448,000","448,000","448,000","448,000","448,000","448,000","448,000","448,000","448,000","448,000","448,000","448,000",0,0,0,0,"448,000","448,000","448,000","448,000","448,000","448,000","450,680","450,680","450,680","450,680","450,680","450,690","450,690","602,390","602,390","602,390","602,390","602,390","602,390","602,390","602,390","602,390"
8877518,이엠텍 XENON 지포스 RTX 2060 SUPER STORM X Dual D6 8GB WHITE,"576,990","576,990","576,990","576,990","576,990","576,990","576,990","576,990","576,990","576,990","576,990","576,990",0,0,0,0,"576,990","576,990","576,990","576,990","576,990","576,990","576,990","576,990","576,990","576,990","576,990","576,990","576,990","576,990","576,990","576,990","576,990","576,990","576,990","576,990","576,990","576,990"
8454213,이엠텍 XENON 지포스 RTX 2060 SUPER STORM X Dual OC D6 8GB WHITE,"539,800","539,800","539,800","539,800","539,800","539,800","539,800","539,800","539,800","539,800","539,800","539,800",0,0,0,0,"539,800","539,800","539,800","539,800","539,800","539,800","539,800","539,800","539,800","539,800","539,800","539,800","539,800","539,800","539,800","539,800","539,800","539,800","539,800","539,800","539,800","539,800"
8454225,이엠텍 XENON 지포스 RTX 2060 SUPER TURBO JET OC D6 8GB,"668,630","668,630","668,630","668,630","668,630","668,630","668,630","668,630","668,630","668,630","668,630","668,630",0,0,0,0,"668,630","668,630","668,630","668,630","668,630","668,630","668,630","668,630","668,630","668,630","668,630","668,630","668,630","668,630","668,640","668,640","668,640","668,640","668,640","668,640","668,640","668,640"
7588138,이엠텍 XENON 지포스 RTX 2070 STORM X Dual D6 8GB WHITE,"1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000",0,0,0,0,"1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000"
