Id,Name,2020-07-06 17:23:10,2020-07-06 19:38:44,2020-07-07 09:17:01,2020-07-07 10:56:10,2020-07-07 11:46:13,2020-07-07 12:18:40,2020-07-08 08:48:47,2020-07-08 11:16:27,2020-07-08 12:06:43,2020-07-09 08:54:12,2020-07-10 09:00:14,2020-07-10 16:54:38,2020-07-11 08:46:27,2020-07-11 09:16:14,2020-07-11 09:47:45,2020-07-11 10:18:31,2020-07-11 10:35:09,2020-07-11 12:15:09,2020-07-11 21:53:03,2020-07-12 09:33:14,2020-07-13 09:32:57,2020-07-14 09:32:20,2020-07-15 09:32:37,2020-07-16 09:32:30,2020-07-17 09:32:49,2020-07-18 09:32:37,2020-07-19 09:34:47,2020-07-20 09:33:56,2020-07-21 09:33:26,2020-07-22 09:33:16,2020-07-23 09:33:34,2020-07-24 09:34:13,2020-07-25 09:34:33,2020-07-26 09:35:42,2020-07-27 09:35:09,2020-07-28 09:34:45,2020-07-29 09:33:47,2020-07-30 09:35:06,2020-07-31 09:36:01
10072065,인텔 코어X-시리즈 i9-10900X (캐스케이드레이크),"818,800","818,800","818,800","818,800","818,800","818,800","818,800","818,800","818,800","818,800","818,800","818,800","869,000",0,0,0,0,"869,000","869,000","869,000","818,800","827,700","827,700","827,700","827,690","827,690","817,880","817,870","817,370","808,440","800,540","800,100","800,090","800,090","800,090","817,690","809,440","800,090","791,040"
11409450,인텔 코어X-시리즈 i9-10900X (캐스케이드레이크),0,0,0,0,0,0,0,"818,800","818,800","818,800","818,800","818,800","869,000","869,000","869,000","869,000","869,000","869,000","869,000","869,000","818,800","827,700","827,700","827,700","827,690","827,690","817,880","817,870","817,370","808,440","800,540","800,100","800,090","800,090","800,090","817,690","809,440","800,090","791,040"
10032045,인텔 코어X-시리즈 i9-10920X (캐스케이드레이크),"964,900","964,900","964,900","964,900","964,900","964,900","964,900","964,900","964,900","964,900","964,900","960,000","960,000",0,0,0,0,"960,000","960,000","960,000","957,520","951,460","945,400","954,400","954,400","954,400","954,400","954,400","954,400","954,400","954,400","954,400","954,400","954,400","954,400","954,400","954,400","954,400","944,900"
11350773,인텔 코어X-시리즈 i9-10920X (캐스케이드레이크),0,0,0,0,0,0,0,"964,900","964,900","964,900","964,900","960,000","960,000","960,000","960,000","960,000","960,000","960,000","960,000","960,000","957,520","951,460","945,400","954,400","954,400","954,400","954,400","954,400","954,400","954,400","954,400","954,400","954,400","954,400","954,400","954,400","954,400","954,400","944,900"
10187988,인텔 코어X-시리즈 i9-10940X (캐스케이드레이크),"1,178,900","1,178,900","1,178,900","1,178,900","1,178,900","1,178,900","1,178,900","1,178,900","1,178,900","1,150,000","1,150,000","1,150,000","1,150,000",0,0,0,0,"1,150,000","1,150,000","1,150,000","1,150,000","1,150,000","1,150,000","1,150,000","1,150,000","1,150,000","1,150,000","1,150,000","1,150,000","1,140,000","1,139,500","1,139,500","1,139,500","1,139,500","1,139,500","1,139,500","1,139,500","1,139,500","1,139,500"
11021130,인텔 코어X-시리즈 i9-10940X (캐스케이드레이크),0,0,0,0,0,0,0,"1,178,900","1,178,900","1,150,000","1,150,000","1,150,000","1,150,000","1,150,000","1,150,000","1,150,000","1,150,000","1,150,000","1,150,000","1,150,000","1,150,000","1,150,000","1,150,000","1,150,000","1,150,000","1,150,000","1,150,000","1,150,000","1,150,000","1,140,000","1,139,500","1,139,500","1,139,500","1,139,500","1,139,500","1,139,500","1,139,500","1,139,500","1,139,500"
10142334,인텔 코어X-시리즈 i9-10980XE Extreme Edition (캐스케이드레이크),"1,800,000","1,840,700","1,838,680","1,838,680","1,836,680","1,836,680","1,828,640","1,828,620","1,828,620","1,824,620","1,822,610","1,822,600","1,820,600","1,820,590","1,820,590","1,820,590","1,820,590","1,820,590","1,820,590","1,818,590","1,808,540","1,889,990","1,889,990","1,889,990","1,889,990","1,889,990","1,889,990","1,889,990","1,889,990","1,889,990","1,889,990","1,889,990","1,889,990","1,889,990","1,889,990","1,889,990","1,889,990","1,889,990","1,889,990"
5557225,인텔 코어X-시리즈 i9-7920X (스카이레이크),0,0,0,0,0,0,0,"1,257,400","1,257,400","1,257,400","1,257,400","1,257,400","1,257,400",0,0,0,0,"1,257,400","1,257,400","1,257,400","1,257,400","1,257,400","1,257,400","1,257,400","1,257,400","1,257,400","1,257,400","1,257,400","1,257,400","1,257,400","1,257,400","1,257,400","1,257,400","1,257,400","1,257,400","1,257,400","1,257,400","1,257,400","1,257,400"
5623642,인텔 코어X-시리즈 i9-7940X (스카이레이크),0,0,0,0,0,0,0,"1,815,970","1,815,970","1,815,970","1,815,970","1,815,970","1,815,970",0,0,0,0,"1,815,970","1,815,970","1,815,970","1,815,970","1,815,970","1,815,970","1,815,970","1,815,970","1,815,970","1,815,970","1,815,970","1,815,970","1,815,970","1,815,970","1,815,970","1,634,390","1,616,230","1,616,230","1,616,230","1,616,230","1,616,230","1,634,390"
5623660,인텔 코어X-시리즈 i9-7960X (스카이레이크),0,0,0,0,0,0,0,"1,817,740","1,817,740","1,813,690","1,808,650","1,808,650","1,808,640",0,0,0,0,"1,804,600","1,804,600","1,803,590","1,802,590","1,800,560","1,795,510","1,794,510","1,795,450","1,795,430","1,795,330","1,795,320","1,795,230","1,795,210","1,795,140","1,795,110","1,795,010","1,794,990","1,794,900","1,794,890","1,794,790","1,794,770","1,794,670"
5681639,인텔 코어X-시리즈 i9-7980XE Extreme Edition (스카이레이크),0,0,0,0,0,0,0,"2,325,650","2,325,650","2,325,650","2,000,050","2,000,050","2,000,050",0,0,0,0,"2,000,050","2,000,050","2,000,050","2,000,050","2,000,050","2,000,050","2,000,050","2,000,050","2,000,050","2,000,050","2,000,050","2,000,050","2,000,050","2,000,050","2,273,690","2,273,690","2,273,690","2,273,690","2,273,690","2,273,690","2,273,690","2,273,700"
6782926,인텔 코어X-시리즈 i9-9820X (스카이레이크),0,0,0,0,0,0,0,"2,486,220","2,486,220","2,486,220","2,486,220","2,486,220","2,486,220",0,0,0,0,"2,486,220","2,486,220","2,486,220","2,486,220","2,486,220","2,486,220","2,486,220","2,486,220","2,486,220","2,486,220","2,486,220","2,486,220","2,486,220","2,486,220","2,486,220","2,486,220","2,486,220","2,486,220","2,486,220","2,486,220","2,486,220","2,486,220"
6746932,인텔 코어X-시리즈 i9-9900X (스카이레이크),0,0,0,0,0,0,0,"1,550,000","1,550,000","1,550,000","1,550,000","1,550,000","1,550,000",0,0,0,0,"1,550,000","1,550,000","1,550,000","1,550,000","904,800","904,800","904,800","927,970","927,970","927,970","927,970","1,550,000","1,550,000","1,550,000","1,550,000","1,550,000","1,550,000","1,550,000","1,550,000","1,550,000","1,550,000","920,900"
6746872,인텔 코어X-시리즈 i9-9920X (스카이레이크),0,0,0,0,0,0,0,"1,219,000","1,219,000","1,219,000","1,219,000","1,219,000","1,219,000",0,0,0,0,"1,219,000","1,219,000","1,219,000","1,219,000","1,219,000","1,219,000","1,219,000","1,219,000","1,219,000","1,219,000","1,219,000","1,219,000","1,219,000","1,219,000","1,219,000","1,411,340","1,411,340","1,411,340","1,092,000","1,050,000","1,050,000","1,050,000"
6929425,인텔 코어X-시리즈 i9-9940X (스카이레이크),"1,077,870","1,077,870","1,077,870","1,077,870","1,077,870","1,077,870","1,077,870","1,077,870","1,077,870","1,077,870","1,077,870","1,077,870","1,077,870",0,0,0,0,"1,077,870","1,077,870","1,077,870","1,077,870","1,077,870","1,077,870","1,077,870","1,077,870","1,077,870","1,077,870","1,077,870","1,077,870","1,077,870","1,066,410","1,066,410","1,066,410","1,066,410","1,066,410","1,066,410","1,066,410","1,066,410","1,066,410"
6929497,인텔 코어X-시리즈 i9-9960X (스카이레이크),"1,328,700","1,328,700","1,328,700","1,328,700","1,328,700","1,328,700","1,328,700","1,328,700","1,328,700","1,800,000","1,800,000","1,800,000","1,800,000",0,0,0,0,"1,800,000","1,800,000","1,800,000","1,800,000","1,250,000","1,250,000","1,250,000","1,250,000","1,250,000","1,250,000","1,250,000","1,250,000","1,300,000","1,300,000","1,300,000","1,300,000","1,300,000","1,300,000","1,300,000","1,300,000","1,300,000","1,300,000"
6929551,인텔 코어X-시리즈 i9-9980XE (스카이레이크),"1,612,000","1,612,000","1,612,000","1,612,000","1,612,000","1,612,000","1,612,000","1,612,000","1,612,000","1,612,000","1,612,000","1,612,000","1,612,000",0,0,0,0,"1,612,000","1,612,000","1,612,000","1,612,000","2,555,600","2,555,600","2,555,600","2,557,590","2,557,590","2,557,590","2,557,590","2,557,590","2,529,800","2,529,790","2,529,790","2,529,790","2,529,790","2,529,790","1,653,600","1,653,600","1,669,490","1,590,000"
